strain_raw,strain_cleaned,library,row,col,value,strain_mean,strain_std,z_score,reason
clminus,clminus,Lopac,H,8,1176.558,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,H,7,1177.215,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,H,6,1169.195,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,H,5,1187.867,2142.1757,1182.5528,-0.81,Extreme reading
clminus,clminus,Lopac,H,4,1105.49,2142.1757,1182.5528,-0.88,Extreme reading
clminus,clminus,Lopac,H,3,606.531,2142.1757,1182.5528,-1.3,Extreme reading
clminus,clminus,Lopac,H,2,980.272,2142.1757,1182.5528,-0.98,Extreme reading
clminus,clminus,Lopac,H,1,994.203,2142.1757,1182.5528,-0.97,Extreme reading
clminus,clminus,Lopac,G,12,1208.424,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,G,11,1251.366,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,G,10,1295.393,2142.1757,1182.5528,-0.72,Extreme reading
clminus,clminus,Lopac,G,9,323.063,2142.1757,1182.5528,-1.54,Extreme reading
clminus,clminus,Lopac,G,8,1191.592,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,G,7,1151.528,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,G,6,1079.443,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,G,5,1138.626,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,G,4,1119.778,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,G,3,1143.454,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,G,2,1120.068,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,G,1,1079.727,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,F,12,1168.921,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,F,11,1329.281,2142.1757,1182.5528,-0.69,Extreme reading
clminus,clminus,Lopac,F,10,1131.861,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,F,9,1332.908,2142.1757,1182.5528,-0.68,Extreme reading
clminus,clminus,Lopac,F,8,1288.638,2142.1757,1182.5528,-0.72,Extreme reading
clminus,clminus,Lopac,F,7,1131.033,2142.1757,1182.5528,-0.86,Extreme reading
clminus,clminus,Lopac,F,6,1255.21,2142.1757,1182.5528,-0.75,Extreme reading
clminus,clminus,Lopac,F,5,1079.922,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,F,4,1241.087,2142.1757,1182.5528,-0.76,Extreme reading
clminus,clminus,Lopac,F,3,1087.716,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,F,2,1142.225,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,F,1,1085.319,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,E,12,1173.119,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,E,11,1262.859,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,E,10,1171.308,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,E,9,1369.964,2142.1757,1182.5528,-0.65,Extreme reading
clminus,clminus,Lopac,E,8,1174.714,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,E,7,1303.841,2142.1757,1182.5528,-0.71,Extreme reading
clminus,clminus,Lopac,E,6,1140.466,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,E,5,1159.869,2142.1757,1182.5528,-0.83,Extreme reading
clminus,clminus,Lopac,E,4,1102.383,2142.1757,1182.5528,-0.88,Extreme reading
clminus,clminus,Lopac,E,3,1330.058,2142.1757,1182.5528,-0.69,Extreme reading
clminus,clminus,Lopac,E,2,1042.479,2142.1757,1182.5528,-0.93,Extreme reading
clminus,clminus,Lopac,E,1,933.883,2142.1757,1182.5528,-1.02,Extreme reading
clminus,clminus,Lopac,D,12,1074.33,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,D,11,1198.139,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,D,10,1199.557,2142.1757,1182.5528,-0.8,Extreme reading
clminus,clminus,Lopac,D,9,1154.796,2142.1757,1182.5528,-0.83,Extreme reading
clminus,clminus,Lopac,D,8,1028.667,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,D,7,1240.071,2142.1757,1182.5528,-0.76,Extreme reading
clminus,clminus,Lopac,D,6,1221.861,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,D,5,1216.903,2142.1757,1182.5528,-0.78,Extreme reading
clminus,clminus,Lopac,D,4,1048.83,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,D,3,1186.221,2142.1757,1182.5528,-0.81,Extreme reading
clminus,clminus,Lopac,D,2,1062.496,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,D,1,1041.363,2142.1757,1182.5528,-0.93,Extreme reading
clminus,clminus,Lopac,C,12,1153.214,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,C,11,1269.088,2142.1757,1182.5528,-0.74,Extreme reading
clminus,clminus,Lopac,C,10,1170.111,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,C,9,1111.107,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,C,8,1134.479,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,C,7,1287.878,2142.1757,1182.5528,-0.72,Extreme reading
clminus,clminus,Lopac,C,6,1099.174,2142.1757,1182.5528,-0.88,Extreme reading
clminus,clminus,Lopac,C,5,1168.422,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,C,4,1090.934,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,C,3,1031.533,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,C,2,1077.53,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,C,1,1074.851,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,B,12,1182.465,2142.1757,1182.5528,-0.81,Extreme reading
clminus,clminus,Lopac,B,11,1176.147,2142.1757,1182.5528,-0.82,Extreme reading
clminus,clminus,Lopac,B,10,1147.319,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,B,9,1142.304,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,B,8,1094.638,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,B,7,1146.477,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,B,6,1031.555,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,B,5,1230.462,2142.1757,1182.5528,-0.77,Extreme reading
clminus,clminus,Lopac,B,4,1037.907,2142.1757,1182.5528,-0.93,Extreme reading
clminus,clminus,Lopac,B,3,1058.358,2142.1757,1182.5528,-0.92,Extreme reading
clminus,clminus,Lopac,B,2,1213.501,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,B,1,1212.501,2142.1757,1182.5528,-0.79,Extreme reading
clminus,clminus,Lopac,A,12,1102.695,2142.1757,1182.5528,-0.88,Extreme reading
clminus,clminus,Lopac,A,11,1033.946,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,A,10,1092.651,2142.1757,1182.5528,-0.89,Extreme reading
clminus,clminus,Lopac,A,9,1134.649,2142.1757,1182.5528,-0.85,Extreme reading
clminus,clminus,Lopac,A,8,928.752,2142.1757,1182.5528,-1.03,Extreme reading
clminus,clminus,Lopac,A,7,1079.645,2142.1757,1182.5528,-0.9,Extreme reading
clminus,clminus,Lopac,A,6,1117.048,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,A,5,1146.169,2142.1757,1182.5528,-0.84,Extreme reading
clminus,clminus,Lopac,A,4,1111.715,2142.1757,1182.5528,-0.87,Extreme reading
clminus,clminus,Lopac,A,3,1030.904,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,A,2,1064.869,2142.1757,1182.5528,-0.91,Extreme reading
clminus,clminus,Lopac,A,1,963.403,2142.1757,1182.5528,-1.0,Extreme reading
clminus,clminus,Lopac,H,12,5111.344,2142.1757,1182.5528,2.51,Extreme reading
clminus,clminus,Lopac,H,11,5445.968,2142.1757,1182.5528,2.79,Extreme reading
clminus,clminus,Lopac,H,10,5209.925,2142.1757,1182.5528,2.59,Extreme reading
clminus,clminus,Lopac,H,9,5117.855,2142.1757,1182.5528,2.52,Extreme reading
clminus,clminus,Lopac,H,8,5462.453,2142.1757,1182.5528,2.81,Extreme reading
clminus,clminus,Lopac,H,7,4476.578,2142.1757,1182.5528,1.97,Extreme reading
clminus,clminus,Lopac,H,6,5122.928,2142.1757,1182.5528,2.52,Extreme reading
clminus,clminus,Lopac,H,5,5292.62,2142.1757,1182.5528,2.66,Extreme reading
clminus,clminus,Lopac,H,4,5352.881,2142.1757,1182.5528,2.72,Extreme reading
clminus,clminus,Lopac,H,3,5123.368,2142.1757,1182.5528,2.52,Extreme reading
clminus,clminus,Lopac,H,2,4919.752,2142.1757,1182.5528,2.35,Extreme reading
clminus,clminus,Lopac,H,1,4582.856,2142.1757,1182.5528,2.06,Extreme reading
clminus,clminus,Lopac,G,12,5212.106,2142.1757,1182.5528,2.6,Extreme reading
clminus,clminus,Lopac,G,11,5521.378,2142.1757,1182.5528,2.86,Extreme reading
clminus,clminus,Lopac,G,10,5429.008,2142.1757,1182.5528,2.78,Extreme reading
clminus,clminus,Lopac,G,9,5699.481,2142.1757,1182.5528,3.01,Extreme reading
clminus,clminus,Lopac,G,8,5415.515,2142.1757,1182.5528,2.77,Extreme reading
clminus,clminus,Lopac,G,7,5262.7,2142.1757,1182.5528,2.64,Extreme reading
clminus,clminus,Lopac,G,6,5539.922,2142.1757,1182.5528,2.87,Extreme reading
clminus,clminus,Lopac,G,5,5338.927,2142.1757,1182.5528,2.7,Extreme reading
clminus,clminus,Lopac,G,4,5215.604,2142.1757,1182.5528,2.6,Extreme reading
clminus,clminus,Lopac,G,3,5267.014,2142.1757,1182.5528,2.64,Extreme reading
clminus,clminus,Lopac,G,2,5029.324,2142.1757,1182.5528,2.44,Extreme reading
clminus,clminus,Lopac,G,1,4983.887,2142.1757,1182.5528,2.4,Extreme reading
clminus,clminus,Lopac,F,12,5313.811,2142.1757,1182.5528,2.68,Extreme reading
clminus,clminus,Lopac,F,11,5364.81,2142.1757,1182.5528,2.73,Extreme reading
clminus,clminus,Lopac,F,10,5228.739,2142.1757,1182.5528,2.61,Extreme reading
clminus,clminus,Lopac,F,9,5366.987,2142.1757,1182.5528,2.73,Extreme reading
clminus,clminus,Lopac,F,8,5634.9,2142.1757,1182.5528,2.95,Extreme reading
clminus,clminus,Lopac,F,7,5256.174,2142.1757,1182.5528,2.63,Extreme reading
clminus,clminus,Lopac,F,6,5530.602,2142.1757,1182.5528,2.87,Extreme reading
clminus,clminus,Lopac,F,5,5297.508,2142.1757,1182.5528,2.67,Extreme reading
clminus,clminus,Lopac,F,4,4943.097,2142.1757,1182.5528,2.37,Extreme reading
clminus,clminus,Lopac,F,3,5070.808,2142.1757,1182.5528,2.48,Extreme reading
clminus,clminus,Lopac,F,2,5000.367,2142.1757,1182.5528,2.42,Extreme reading
clminus,clminus,Lopac,F,1,4918.857,2142.1757,1182.5528,2.35,Extreme reading
clminus,clminus,Lopac,E,12,5505.011,2142.1757,1182.5528,2.84,Extreme reading
clminus,clminus,Lopac,E,11,5506.615,2142.1757,1182.5528,2.85,Extreme reading
clminus,clminus,Lopac,E,10,5607.432,2142.1757,1182.5528,2.93,Extreme reading
clminus,clminus,Lopac,E,9,5229.313,2142.1757,1182.5528,2.61,Extreme reading
clminus,clminus,Lopac,E,8,4945.249,2142.1757,1182.5528,2.37,Extreme reading
clminus,clminus,Lopac,E,7,5370.971,2142.1757,1182.5528,2.73,Extreme reading
clminus,clminus,Lopac,E,6,5227.655,2142.1757,1182.5528,2.61,Extreme reading
clminus,clminus,Lopac,E,5,5436.043,2142.1757,1182.5528,2.79,Extreme reading
clminus,clminus,Lopac,E,4,5136.592,2142.1757,1182.5528,2.53,Extreme reading
clminus,clminus,Lopac,E,3,5311.221,2142.1757,1182.5528,2.68,Extreme reading
clminus,clminus,Lopac,E,2,5205.149,2142.1757,1182.5528,2.59,Extreme reading
clminus,clminus,Lopac,E,1,4712.424,2142.1757,1182.5528,2.17,Extreme reading
clminus,clminus,Lopac,D,12,5095.679,2142.1757,1182.5528,2.5,Extreme reading
clminus,clminus,Lopac,D,11,5627.104,2142.1757,1182.5528,2.95,Extreme reading
clminus,clminus,Lopac,D,10,5607.816,2142.1757,1182.5528,2.93,Extreme reading
clminus,clminus,Lopac,D,9,5883.267,2142.1757,1182.5528,3.16,Extreme reading
clminus,clminus,Lopac,D,8,5722.749,2142.1757,1182.5528,3.03,Extreme reading
clminus,clminus,Lopac,D,7,5264.231,2142.1757,1182.5528,2.64,Extreme reading
clminus,clminus,Lopac,D,6,5016.371,2142.1757,1182.5528,2.43,Extreme reading
clminus,clminus,Lopac,D,5,3933.587,2142.1757,1182.5528,1.51,Extreme reading
clminus,clminus,Lopac,D,4,5127.572,2142.1757,1182.5528,2.52,Extreme reading
clminus,clminus,Lopac,D,3,4874.988,2142.1757,1182.5528,2.31,Extreme reading
clminus,clminus,Lopac,D,2,4974.284,2142.1757,1182.5528,2.39,Extreme reading
clminus,clminus,Lopac,D,1,4651.794,2142.1757,1182.5528,2.12,Extreme reading
clminus,clminus,Lopac,C,12,5350.797,2142.1757,1182.5528,2.71,Extreme reading
clminus,clminus,Lopac,C,11,5350.823,2142.1757,1182.5528,2.71,Extreme reading
clminus,clminus,Lopac,C,10,5441.276,2142.1757,1182.5528,2.79,Extreme reading
clminus,clminus,Lopac,C,9,5469.842,2142.1757,1182.5528,2.81,Extreme reading
clminus,clminus,Lopac,C,8,5115.262,2142.1757,1182.5528,2.51,Extreme reading
clminus,clminus,Lopac,C,7,5235.572,2142.1757,1182.5528,2.62,Extreme reading
clminus,clminus,Lopac,C,6,5404.152,2142.1757,1182.5528,2.76,Extreme reading
