"","Alg12-18h","Alg12-20h","Alg12-22h","ARP6-18","ARP6-20","But18","But24","CHRA18","CHRA24","cin2-18","Cin2_16hrs","Cin2_18hrs","Cin2_20hrs","Cin2_22hrs","CIN8-18","CIN8-20","CLA4-18","CLA4-20","CLA4-22","CNB1","CTF4-16","CTF4-18","CTF4-20","CTF4-22","DEP1-18","DUN1-18","ESC1-18","Gas1","GAS1-42h","Gim3-18","GIM5-18","GIM5-20","GIM5-22","HOC1-18","KRE1-18","Leo18h","Leo24h","LGE1-19","MRC1-18","MT1448","MT1448sspH-24","MT1448sspH-45","MT1448sspH-48","MT2481","MT2481-24hours","MT2481-Camptothecin","MT2481-Cantharidin","MT2481-cyclosporine","MT2481-Fenbendazole","NUM1-18","Pac10-18","Peu18","POL32-18","PPH21","Ric1-27h","Rot2-18","SAP30-18","shm2-21","SLT2-18","SLT2-20","SLT2-22","Smi1","Swe1-18","TEP1","TOP1","WT-CAMP","WT-Ciclosporin","WT-Fen","YHR087W-18","Ypt6-27h"
"CD 00622","-0.4093","-0.285887","-0.27562","-1.67791","0.00549646","-1.41898","-0.859994","-1.71135","-1.33019","-0.427028","-0.475651","-0.452448","-0.229493","-0.475695","-1.05227","-1.48908","-0.106844","-0.517317","-0.428942","0.121757","-2.19147","-1.96394","-1.32092","-0.569882","-1.51737","-1.47878","-1.12555","-2.14892","0.121874","-1.13893","-1.39598","-1.02464","-0.549209","-2.67773","-0.965525","-1.11335","-0.740696","-1.84287","-1.33788","-0.0709892","0.00105272","0.0376424","0.175596","-0.87961","0.369798","0.186812","0.257733","-0.184821","-0.117265","-1.92297","-1.32835","-1.73862","-4.66172","-0.195009","-3.03675","-0.63037","-2.48775","-0.654382","-3.74894","-7.08484","0.235068","0.365062","-1.36562","-0.391931","-0.771596","-0.549912","-1.48235","-0.153699","-3.81121","-2.61961"
"CD 00738","-0.497864","0.611413","0.899307","0.0157712","0.812176","-0.361797","1.02667","0.228351","1.21812","0.430681","-0.241966","0.418463","0.338948","0.209863","0.761346","-0.241714","-0.27416","0.15886","-0.164275","0.438935","-0.924092","-0.523385","-0.258063","-0.0359956","0.65103","-1.06437","-0.816234","-0.0356263","-0.360974","-1.10706","0.158439","0.688473","1.1874","-0.172991","0.515442","-0.0960088","0.694691","-2.48057","0.680055","0.0732891","-0.0208524","-0.0433536","0.148024","-1.94363","0.190564","0.143529","-0.100515","0.0683145","0.00783562","-0.364091","-0.184012","0.543977","0.157894","0.534725","0.124481","0.277279","-0.265275","-0.521724","-0.113323","0.587561","0.282466","-0.339789","-0.123441","0.561752","-1.92125","0.513382","-2.34375","-0.482675","-1.26841","-0.849548"
"CD 00977","0.388693","0.548424","0.194866","0.596423","0.507784","-0.192599","0.155016","0.278","0.911647","0.550733","-0.359583","0.540753","0.626434","0.457252","2.39207","1.21899","0.972811","0.440027","0.276778","1.29284","-0.0570015","-0.257592","0.313523","0.622879","-0.0675442","1.20331","-0.288622","1.80428","0.796326","0.632048","0.294669","0.521549","0.806765","1.37855","-0.390742","-0.0924543","0.230101","0.909713","-0.941213","1.02979","-0.0221773","-0.0673184","0.127807","1.03709","0.500727","1.16752","0.982707","0.698727","0.535428","-0.544173","-0.23956","-1.81821","-0.485934","1.32326","-1.24677","0.637574","0.75894","1.50104","0.533513","1.22769","1.70144","1.20947","1.28108","0.828573","-0.129238","0.832191","-0.59418","0.523533","-0.0888664","-1.52457"
"CD 01085","-0.00867938","0.326054","-0.247363","-0.69261","0.216221","-0.656295","-0.567446","-0.550889","0.453406","0.0330627","-0.876625","0.0167714","0.376484","-0.506452","0.954993","0.159354","0.0535416","0.582979","-0.0946826","-0.490719","-1.19616","-0.718253","-0.253545","-0.203971","-0.175485","-0.0247271","0.204043","1.26424","-0.724527","-1.63883","-0.968718","-0.829765","-0.271023","-0.690017","-0.259794","-1.25727","-1.86019","-0.0249405","-2.16619","-0.858158","-0.0250318","-0.0546605","0.217081","-0.297123","-0.956578","-0.359524","-1.1661","-0.981667","-0.0507863","-0.913581","-1.56714","-0.443595","-1.57858","-4.87443","-3.11057","-0.300796","-0.947643","0.532266","-1.28521","-1.10113","-0.0828722","-0.74961","0.400308","-0.611088","-0.539872","0.442563","-1.96115","-0.813073","1.36401","-3.6863"
"CD 01404","-0.706434","0.65614","0.0194414","-1.11994","-0.642197","-0.413755","-0.444766","0.127345","0.734045","0.0279686","-1.00823","0.0124663","0.407913","0.209287","-1.02825","-0.493452","-1.06144","0.449713","0.742313","-0.151608","-0.906892","-1.39045","-1.62582","-0.479679","-0.895003","-0.856868","-0.542096","2.6568","0.0845738","-0.391368","-1.14441","-1.10862","-0.966609","-0.524535","-0.479827","-0.279843","-0.211255","-0.464392","-1.2819","-0.12206","-0.0566288","-0.0752861","-0.105892","0.411364","-0.586002","0.381026","0.619819","0.149081","-0.322379","-0.60562","-1.00095","-1.25314","-1.16363","-0.403513","-3.62362","-0.456595","-0.77495","-0.96069","-1.17398","-1.06807","0.426694","-0.270266","-0.66943","-0.6055","-1.73477","0.60218","-0.619694","-0.458427","2.83959","-4.17764"
"CD 01523","-0.518844","-0.732887","0.0541256","-0.349517","-0.435707","0.540559","0.170225","-0.118779","-0.30909","-0.542059","0.32539","-0.569973","-0.163703","-0.488744","-2.05627","0.338754","-0.580207","0.793009","0.519834","-1.29736","0.284187","0.670254","0.0170912","0.0310396","0.419617","0.301865","0.128615","-0.827033","-0.742089","0.573897","-0.084032","0.195809","-0.244579","-0.102558","0.906571","0.626532","-0.297525","-0.534518","0.817063","-1.29957","-0.0274078","0.117335","-0.0184846","-0.291343","-1.52779","-0.955936","-1.4917","-0.757749","-0.174008","0.232076","1.59958","1.29462","0.172005","-0.946427","3.11074","-0.129219","0.296068","-0.580766","0.882279","-0.457243","-2.76503","-1.53789","-1.02614","-0.232585","-0.340817","-1.43814","-1.25258","0.236989","4.31427","3.3135"
"CD 01702","-1.6097","-1.52056","-1.32991","0.144967","-1.25059","0.943684","0.547613","0.811972","-0.0522917","-1.43405","-0.399963","-1.47498","-1.0839","-1.53089","-1.0946","-0.846252","-0.812902","-1.22526","-0.793612","-0.950598","-0.273649","-0.462061","-0.621454","-0.650688","-0.898383","-0.404099","-1.00878","-2.87504","-0.4749","-0.943375","-0.698549","-0.629527","-1.48694","-1.93459","-0.226722","0.962244","0.176086","-0.65467","-0.512916","-0.569851","-0.0122758","0.0227974","-0.0750763","-0.00402284","-0.492146","-0.844037","0.49146","0.378483","-0.695114","0.246468","0.151716","1.08526","-0.843766","-0.851854","1.96964","-0.436086","-0.950469","-2.06246","-0.637625","-1.33133","-1.59551","-0.47388","-0.278187","-0.998978","0.170082","-1.43327","0.827836","-0.448262","-1.81711","1.32247"
"CD 01774","0.283826","-0.102579","0.0812865","-0.729421","0.560276","-1.54295","-1.23046","-1.68914","-1.8898","-0.510019","-0.0785592","-0.536908","-0.0282","-0.20786","-0.418175","-0.507901","0.0642029","-0.776246","-0.504966","0.465927","0.014703","0.403763","0.683614","0.218334","0.910955","0.825233","0.664007","-1.15682","-0.19743","1.17182","0.252188","0.0744074","0.170092","0.122217","-0.0244323","-1.02428","-0.215096","-1.2833","1.07707","0.835838","-0.0122061","-0.00626882","0.0633789","-0.277881","-0.29063","-0.246641","0.0288991","0.0405153","-1.44234","-1.25016","0.358157","-0.361731","0.922094","0.397045","2.75979","1.24974","-0.38039","1.40004","1.08757","1.14787","0.798233","0.74826","0.450458","0.290563","0.235392","0.295175","-2.13577","0.206003","1.23919","3.22272"
"CD 01869","0.563677","-0.137615","-0.296484","0.501091","-0.88284","-0.203343","-0.0551282","-0.36999","0.0938414","-0.346795","0.0563997","-0.370668","0.214549","-0.245131","0.174597","-0.517098","0.880929","-0.787179","-0.500984","0.0571691","0.409776","0.681565","1.01479","0.744322","-0.906701","-0.630431","-2.10916","0.790932","0.409347","1.77124","-0.0406183","-0.178546","-0.315397","-0.18774","-1.49452","0.107258","-0.259417","-1.68474","0.166063","0.326652","0.0047624","-0.0186856","0.487241","0.356959","-0.158672","0.726261","-0.0639169","-0.0947414","-1.86146","-0.635992","0.309282","-0.162413","-0.353064","-0.0567852","4.46751","-0.923809","-0.349143","-0.381458","0.78565","0.839474","-0.124827","-0.0760126","1.15225","0.10249","0.948801","-0.338716","1.5035","-0.0688805","-0.123093","3.40051"
"CD 01986","-7.71487","-10.3129","-2.74966","-3.81215","-6.913","0.561026","-2.73034","0.208027","-2.02591","-11.4171","-8.58976","-11.6114","-6.9723","-2.38907","-4.89182","-2.61228","-8.45653","-17.4262","-8.52032","-13.5951","-1.43794","-2.55014","-4.99404","-3.4044","-0.61614","-2.40692","0.902807","-4.21711","-6.17739","-2.40499","-5.27236","-8.49368","-1.88798","-1.01317","1.56702","-0.313622","-0.659254","-3.2928","-1.46623","-11.6903","-0.0322062","-0.0396955","-0.0975377","-9.09673","0.262408","-2.95235","-10.4155","-11.5552","-4.00282","-0.942933","-1.61514","-2.45195","-1.4534","-7.42593","-7.64926","-1.63769","-2.46741","0.384237","-2.09232","-8.00871","-4.69891","-11.5996","-1.21522","-9.60459","-9.72374","-16.4473","-14.3487","-12.6977","2.5613","-8.97755"
"CD 02053","0.365587","0.489006","-0.0470576","-0.0157699","0.176493","-0.590531","0.136369","-0.296983","0.592435","0.560641","-0.377171","0.550587","2.63515","0.0839502","2.21912","0.925846","0.314781","0.24746","0.636236","1.46369","0.723562","-0.240475","0.470695","0.974696","-0.067485","0.112383","0.775979","2.39226","0.461369","0.443046","-0.532155","-0.181349","0.322588","1.2574","-0.360902","-0.665273","0.0973806","0.210279","0.176681","1.09918","-0.0144655","-0.0507681","0.20837","0.930038","0.549955","0.340343","1.50284","1.27696","0.654638","0.0833821","0.196826","-0.736628","1.16745","0.923207","-4.76958","1.38387","0.508244","0.899843","-0.906064","-0.894058","0.869707","1.55371","0.441052","1.37927","-0.389571","0.842031","-0.769668","0.307215","2.75653","-6.80813"
"CD 02162","-4.2646","-1.70209","-2.54273","-7.28711","-13.0699","-4.90769","-10.7426","-3.93349","-9.16205","-1.84839","-4.80271","-1.89434","-1.67567","-2.58103","-4.84494","-2.69421","-3.76001","-2.53785","-2.45686","-4.88967","-2.6723","-4.2787","-4.00848","-1.33577","-3.17136","-1.91215","-3.09235","-2.90112","-4.15338","-4.89627","-5.80959","-7.77799","-2.99046","-5.69836","-1.74255","-4.2291","-6.59204","-4.28954","-2.66543","-3.99674","-0.00816371","-0.0284588","-0.102197","-3.21599","-1.35248","-16.4153","-1.48576","-1.74335","-0.646772","-1.80741","-2.14478","-6.93953","-4.28889","-1.7803","-9.38735","-2.26425","-2.70351","-1.11251","-7.07942","-16.5608","-14.7885","-2.53723","-2.13188","-2.61769","-7.85862","-2.23152","-3.55919","-4.66335","-2.08307","-11.7636"
"CD 02345","-0.593145","-0.0106289","-1.13903","-0.963983","-0.18748","-0.36414","-0.281004","0.189492","0.819174","-1.3613","-1.65169","-1.39815","-1.28141","-0.743965","-0.38072","0.730584","-0.639016","-0.390404","-0.300775","0.0855828","-0.750431","-1.35425","-1.56402","-0.23344","-0.278376","-0.482249","-0.68576","2.88378","0.0634884","0.74567","-1.55418","-1.81572","-1.65911","-0.929114","-1.71288","-0.226873","-0.247041","-0.044204","-1.65916","-1.40792","0.0188768","0.00455532","0.0864348","-0.477336","-1.16436","-0.418113","0.226554","-0.0582342","0.0121042","-0.610855","0.0896313","1.10554","-1.52465","-0.200338","-6.39461","-0.956057","-0.134511","-0.752772","-2.42616","-3.0468","0.181288","-0.244739","0.286003","-0.736139","-2.91834","0.617187","-0.612062","-0.412876","-1.08382","-9.38695"
"CD 02460","-0.142991","-0.422942","0.170394","0.0305697","0.218721","0.399748","-0.248436","0.169113","-0.431727","-0.262712","1.01009","-0.285039","0.620633","0.409586","-0.873083","-0.13875","-0.710319","0.88273","1.78835","-0.819414","0.483053","1.14146","0.671574","0.910117","0.651946","0.490945","-0.128087","-0.834882","-0.583091","0.353743","0.188991","0.294285","-0.722379","0.230897","1.046","0.651699","0.839963","-0.458129","0.303817","-1.18751","-0.030707","-0.029306","-0.0524973","-0.0359211","-1.40905","-0.644482","-1.30811","0.0828862","-0.127866","0.682807","0.382081","1.464","0.0345046","-0.028641","4.17778","-0.254568","-0.16","-0.572354","1.30998","0.0105688","-2.89984","-1.30946","-0.140122","-0.708875","0.00147566","-0.80582","1.46785","0.140651","-1.52328","4.01153"
"CD 02574","-3.30479","-1.96819","-2.17554","-2.96245","-2.9984","-4.76056","-9.10272","-4.62818","-14.1403","-2.10434","-1.48146","-2.15478","-1.86379","-2.64125","0.109638","-1.04615","-1.77833","-1.02914","-1.46065","-1.41933","-2.31987","-1.52576","-1.69286","-1.62432","-2.35136","-0.2869","-0.713694","-3.44664","-3.10116","0.157017","-1.86041","-1.80174","-2.38325","-0.0940192","-0.310805","-4.46014","-8.99779","-2.27949","-0.199134","-0.878277","-0.0325818","0.0315977","-0.0165063","-7.21203","-0.0303725","-19.3727","0.907445","-2.20047","-8.31831","-0.121418","-0.668153","-5.94575","0.748443","-1.37831","-2.46429","-1.22032","-1.20435","-1.84353","-0.963723","-1.83395","-0.833983","-0.766999","-1.50339","-0.583233","-1.37806","-1.66105","-3.01102","-2.18936","-3.09249","-3.69527"
"CD 02784","0.0311672","0.0657208","0.185812","1.08439","0.508511","0.451688","1.2056","0.713805","1.06829","-0.424091","-0.321357","-0.449071","-0.186253","0.0812277","-0.188853","-0.396443","1.08889","0.562937","0.602225","-0.699525","0.0406301","0.273468","0.864439","0.292662","-0.683861","0.227049","0.778091","0.39523","0.628266","-1.59583","-0.126892","0.229924","-0.597651","1.53046","0.465668","0.720263","1.32332","-0.115552","-0.476178","1.38972","-0.0154354","0.0142785","-0.0385278","0.388161","0.472552","0.900849","0.597552","1.07211","0.552795","-0.208521","-0.136268","0.626542","0.0478517","0.614943","-0.360187","0.424267","-0.254914","1.40174","0.722389","1.37592","1.00118","0.271903","0.0409543","1.14222","1.43755","1.11411","-0.310809","0.679822","0.303657","-1.02403"
"CD 02862","-0.638135","-1.03079","-1.03055","-0.391125","-0.884745","-1.07864","-0.185667","-1.33741","-0.284877","-0.414038","-1.01756","-0.440889","-1.0896","-0.762377","-0.0323534","-0.840029","1.03059","-0.581541","-0.0491581","0.573557","-0.673924","-0.204573","0.470987","-0.421288","-0.96286","-0.0758429","-0.675058","-0.592802","-0.535299","-0.711797","-0.187316","-0.0890133","-0.674922","-0.778704","-0.781327","-1.33964","-0.562534","-2.06314","-0.947661","1.12475","0.001379","-0.013696","-0.0278046","0.0319194","0.651821","0.57821","0.488204","-0.284927","-3.79193","-1.19168","-0.49924","-0.0440858","0.50502","0.71212","2.07228","0.944176","-0.44331","-0.172316","0.1283","0.47983","0.0357815","0.164237","-1.17437","-0.327487","-0.179792","-0.0711839","-0.593062","-0.7556","0.401819","1.6514"
"CD 02948","-8.45089","-6.80782","-1.03153","-11.302","-26.8524","-6.88599","-25.0536","-4.49292","-12.9661","-14.2444","-12.5047","-14.482","-8.76186","-0.94304","-14.2898","-8.97425","-2.83147","-0.606116","0.496727","-16.5145","-2.74719","-2.95676","-2.0829","-1.41405","-1.27533","-2.2915","1.52138","1.8419","0.479056","-0.578877","-4.26213","-4.62573","0.368769","-0.620084","-0.893134","-4.88829","-12.3965","-0.820029","0.0571191","-14.3522","-0.0577527","-0.0735316","-0.0700038","-22.3288","-1.33574","-4.90557","-15.7304","-12.8445","-3.85955","-0.83176","-1.27509","-10.1229","-0.722862","-2.98471","-2.81935","1.09618","-0.90973","0.804788","-6.72706","-16.2544","-14.2191","-0.0658602","-3.53704","-12.5293","-3.90969","-10.1142","-8.65831","-6.28747","-0.635133","-3.72049"
"CD 03004","-0.399912","-0.809474","-1.2237","-1.78437","-0.968929","-1.54706","-1.43088","-1.20808","-0.581956","-0.265348","-1.53747","-0.288028","-1.57456","-1.30929","1.38685","0.047797","0.417877","-1.41065","-1.35935","0.223498","-0.661806","-1.73408","-1.53876","-1.63038","-0.817735","-0.780767","-0.39759","2.16608","0.219685","0.183568","-2.40444","-2.63327","-1.33051","-0.873457","-2.02525","-1.39518","-0.950733","0.174203","1.70535","0.258086","-0.0180545","-0.085878","-0.0497267","0.0365692","-0.197217","0.509783","0.723734","0.277928","0.149338","-0.985059","-0.798164","-2.13967","-1.99093","0.498069","-7.82137","-1.18749","-0.839268","-0.837071","-2.19001","-3.75477","0.343298","0.446072","0.232418","-0.643619","-3.14831","0.260367","0.129924","-0.239348","1.03242","-10.6637"
"CD 03187","-31.9563","-47.069","-50.3685","-16.7401","-44.2797","-8.03288","-34.7279","-5.53967","-21.447","-38.6421","-25.5931","-39.2462","-52.233","-52.636","-37.6689","-57.3067","-22.4848","-46.9318","-50.3948","-53.6391","-8.77286","-10.7152","-24.3756","-36.6104","-7.74278","-3.21618","-3.19443","-4.44015","-2.95074","-6.17492","-28.0703","-44.3313","-56.5093","-3.44092","-0.820978","-6.16324","-27.3782","-5.46751","-4.87898","-42.6562","-0.109979","-0.157932","-0.248152","-27.4755","-25.0675","-21.7664","-52.3354","-48.2157","-16.3496","-3.35777","-13.0384","-12.4981","-3.0045","-45.8674","-17.0644","-4.60186","-4.59735","-1.22225","-11.5457","-33.5549","-48.6096","-54.4031","-5.88886","-40.8783","-13.4531","-50.1303","-45.9487","-42.817","-0.616896","-19.3811"
"CD 03281","-13.0113","-10.4283","-1.06159","-10.6856","-21.999","-5.56316","-9.40454","-3.18444","-3.61529","-5.02069","-8.43515","-5.11544","1.53782","0.473052","-10.3744","0.563523","-8.97075","-10.0332","-5.98446","-21.5969","-5.1589","-6.40523","-7.76921","-5.02571","-8.51948","-4.27299","-3.48017","-5.36154","-0.310485","-3.55991","-9.38423","-12.2211","-3.48659","-10.913","-3.09068","-4.13515","-4.33313","-4.88867","-7.47999","-14.1716","-0.0761449","-0.0828918","-0.0174594","-19.6505","-0.822989","-19.2447","-9.91603","-17.3563","-8.00925","-2.81181","-10.2092","-9.47881","-5.61233","-9.04678","-13.4383","-4.92437","-3.81326","-3.84355","-10.5425","-29.1316","-38.4561","-15.8592","-7.7348","-10.2526","-8.93086","-8.55343","-12.47","-10.4971","-8.85839","-17.1432"
"CD 03417","-0.81287","-0.49876","0.202219","-0.420848","-0.221064","0.0460863","0.0584542","-0.247422","-0.619997","-1.37169","0.355161","-1.41208","-0.37153","-0.208412","-1.52925","-0.0919661","-1.83269","-0.421319","-0.0442218","-0.679826","-0.26811","0.876166","0.660354","0.627792","0.051515","0.560592","0.0736482","-1.47221","-0.874301","0.10953","0.236732","0.0412428","-1.04851","0.0884501","-0.456907","0.397464","0.352398","0.12389","0.786555","-1.43232","-0.0254599","-0.0124968","0.172669","-0.612357","-1.49515","-0.641834","-1.52721","-0.179022","-0.211912","0.722979","0.0593181","0.638578","1.69554","-1.11324","1.46081","-0.756572","0.0699039","-0.602696","1.08613","0.382187","-1.76224","-1.20972","-0.672871","-0.777396","-0.778842","-1.14672","0.536396","0.0547703","-1.83406","0.77405"
"CD 03656","0.335338","-0.556644","0.0085335","0.403768","-0.326894","0.36073","0.82926","-0.0267691","-0.397793","-0.977838","0.338308","-1.01216","-0.358593","-1.4615","-0.165788","-0.372268","0.316202","-0.1008","-0.385472","0.495157","0.149953","0.650135","0.116708","0.030902","0.898788","1.20982","0.00900592","-0.417543","0.418971","0.623019","0.231874","0.290969","-1.1044","1.02722","0.729163","0.485814","0.418664","-0.105425","0.755292","0.200849","0.085139","0.134029","0.103134","0.764067","0.122339","0.588181","0.416407","1.00355","0.107017","0.347794","0.71789","0.842256","1.67849","0.86542","4.05916","0.619009","-0.737523","0.454894","1.4265","1.18031","0.500169","0.630365","0.356468","1.23055","0.910138","-0.435658","2.22233","0.445651","-0.622844","3.26283"
"CD 03831","0.232411","0.407407","0.383899","0.110982","0.477515","0.839028","0.620012","1.71474","1.14263","-0.397889","0.0658981","-0.42341","0.0106197","0.758315","0.155497","0.0940709","1.1147","0.132963","0.62259","0.480684","0.40487","1.02071","1.02472","0.449604","0.378076","0.907377","1.42227","-1.44536","-0.434334","-0.128173","0.53187","0.76581","0.847843","1.95858","1.28498","0.942697","0.888038","0.0654893","0.645106","0.954351","0.00798387","0.0474983","0.0693857","0.178166","-0.112812","0.0822331","0.145905","0.281025","-7.0809","0.390782","0.851729","1.07963","0.584503","0.367851","1.10474","0.471083","-0.0746191","-0.366357","0.678774","1.32537","0.57694","0.190987","1.1268","1.35243","0.451762","0.559369","1.77609","0.740533","0.519783","1.50705"
"CD 04055","0.874492","-0.372203","-0.329451","0.551583","-0.331737","-0.0335518","0.161187","0.10969","0.387719","0.774174","0.0631841","0.76435","-0.327798","0.361273","0.366253","-0.727974","1.19878","0.509925","-0.373662","0.161409","-0.266411","0.314901","-0.0240647","-0.903874","0.85971","0.738505","-0.252926","0.566091","-0.394521","-0.144134","0.780021","1.3377","2.04914","-1.08089","-0.607406","0.226193","-0.0980528","-0.982396","-0.406955","0.143948","0.0157867","-0.00489805","-0.0329116","0.538097","0.53353","0.18603","0.0649368","-0.494133","-0.245386","-0.415486","-1.32782","0.166004","1.26963","-0.719346","1.34782","0.084165","0.100116","-0.427837","0.906663","1.22164","0.615631","0.0584254","-0.825551","-0.657867","0.576139","0.114319","1.62481","0.729706","-0.438964","0.811613"
"CD 04233","-3.46349","-1.6435","-2.1278","-2.93272","-1.86676","-2.20546","-2.51798","-1.98296","-1.31072","-1.58394","-1.47561","-1.6253","-2.7676","-1.17528","-1.07462","-2.3763","-1.14474","-0.21748","-2.08646","-1.07438","-2.25219","-1.51026","-0.699963","-2.06288","-1.19304","-0.566846","-0.963698","-1.16581","-2.93794","-2.14867","-2.48091","-2.27243","0.0402767","-4.34867","-2.99487","-1.82621","-0.936549","-2.46541","-1.7979","-0.396993","-0.0408738","-0.0482346","-0.00175115","-0.802645","-0.0395403","-1.80192","-0.365981","0.510183","-1.77421","-0.841835","-2.8717","-2.13389","-1.5193","-0.525201","-2.95438","-0.828354","-0.334681","0.628029","-1.72389","-1.84824","-1.05781","-1.19353","-0.85261","-0.514748","-0.920802","-0.605422","-2.0593","-2.82604","-0.521232","-3.46079"
"CD 04305","0.00632364","-0.179998","-0.153428","-0.261566","-0.464929","0.0102385","0.434083","0.111861","0.717618","0.41302","-0.64581","0.399039","-1.00018","-0.0368014","1.18939","0.095537","0.769368","-0.408023","-0.12686","0.614863","0.211578","-0.43961","0.167453","-0.067677","-1.09584","-0.834027","-0.143671","1.82227","0.598315","0.602061","-1.35878","-1.23117","-0.0121867","0.214259","0.107862","-0.362685","-0.042275","-0.175931","-0.637057","0.419312","-0.0155802","0.0116175","-0.0428801","0.707002","-0.158915","0.674426","1.00544","0.00415279","0.107468","-0.493231","0.0323547","0.355567","-1.25581","2.0515","-6.33511","-0.0933998","0.457464","1.3278","-0.798943","-0.456392","0.424472","1.27714","1.79837","0.162503","-1.44067","0.504709","-1.12931","-0.421162","2.32025","-8.88403"
"CD 04503","-0.875259","0.0140392","-0.961078","-3.19952","-1.79923","-1.45774","-1.50343","-0.218592","0.361378","0.00495136","-1.40298","-0.0123171","-1.05848","-0.395867","0.228747","-1.01231","-1.41013","0.20891","-0.18475","-0.138552","-1.111","-1.81177","-1.06886","0.100522","-1.33228","-0.731878","0.241878","1.79688","0.156887","-0.787459","-2.96106","-2.88409","-1.39508","1.27513","-2.06362","-1.05215","-0.309411","-0.206975","-1.9783","-0.991007","-0.0186448","-0.0523688","-0.105336","-1.08","-1.26991","-0.300562","-1.43589","-0.307652","0.0592978","-0.711035","-1.38747","-2.08497","-1.71312","0.629308","-9.89842","0.378472","-1.34202","1.48741","-3.44099","-5.49539","1.4278","0.0100477","-1.25939","-1.07215","-6.70372","0.158421","-2.40655","-1.31743","1.70453","-11.998"
"CD 04573","-0.811566","0.850679","-0.430305","-0.919083","0.323276","-0.294272","0.085168","0.565357","1.07585","0.0859964","-1.13177","0.0707576","-0.706704","-0.284564","-0.800966","0.287204","-1.5632","0.578991","1.00161","0.311226","-0.252059","-1.57603","-0.871163","0.661192","-1.82562","-1.77106","-0.611564","2.69072","0.839853","-1.05936","-2.06744","-2.1272","-1.07365","-0.485709","-1.19963","-0.396277","-0.142769","0.0629956","-1.60739","-0.350487","-0.0189802","-0.0530633","0.015088","-0.0982004","-0.534387","-0.178739","0.336157","0.0302599","0.426538","-0.856441","-1.92911","-1.21338","-1.42197","0.434442","-6.89471","-0.190121","0.179921","-1.88528","-2.30925","-2.96468","0.295457","1.17104","-0.669725","-0.703189","-3.52474","0.772628","-1.822","-0.451412","2.88962","-9.38027"
"CD 04652","-0.831127","-0.677632","0.147232","-0.886045","0.0952261","0.695714","-0.341602","0.279722","-0.369919","-1.31011","0.204714","-1.34954","-0.228067","-1.07968","-2.41532","-0.892013","-0.987517","0.0506523","0.0622497","-0.908527","0.0764978","0.904395","-0.0619109","0.764117","0.297809","0.0736776","0.31107","-0.450068","-0.408038","1.09409","-0.110702","-0.394748","-0.97161","-0.453957","-0.687126","0.603699","0.0780291","-0.43879","0.222839","-1.14228","-0.0394163","-0.0329138","-0.130859","-0.00895266","-1.35864","-0.561144","-1.73739","-1.53671","-0.140351","0.473325","1.25328","-0.0343253","0.833884","-1.39223","1.69258","-0.752834","-0.417192","-0.900981","1.45892","0.184114","-1.34015","-1.59652","0.261955","-1.01355","-0.36276","-1.08779","1.79154","-0.358137","-0.901188","1.36979"
"CD 04828","-0.862297","-1.92439","-1.5814","-0.171114","-1.14497","-0.0180853","-0.364766","-0.492494","-1.13152","-2.058","-0.652963","-2.10827","-2.27705","-3.75593","0.301151","-1.32209","-0.377598","-0.941707","-1.29133","-1.07365","-0.110851","0.295481","-0.647496","-1.10463","-0.0319739","-0.228552","-0.681809","-0.429062","-0.763856","1.1082","-0.247521","-0.0698405","-1.69003","-1.09341","-0.932778","0.245365","-0.567014","-0.902181","0.0152908","-0.167347","-0.00462916","-0.0128859","-0.0716014","-0.161438","-0.394354","-0.0234277","-0.252739","-1.13003","-0.15804","0.158071","-1.36225","1.09271","-0.132421","-1.69345","3.15034","-0.633442","-0.0952317","-0.805976","0.893291","0.050472","-1.39399","-1.06803","-0.484483","-0.176869","0.276183","-1.91541","0.491544","-1.06121","-0.825752","3.03275"
"CD 05034","-0.95405","-1.18198","-0.848843","-1.26628","-0.188205","-1.36139","-0.774258","-2.14931","-1.16938","-0.507332","-0.378564","-0.534951","-1.19288","-0.121318","-1.91667","-1.35076","-0.73179","-1.32424","-1.90953","-0.533182","-0.857794","-1.05022","-1.13959","-1.17773","-0.12941","-0.631631","0.562882","-3.56822","-3.97507","-1.24508","-0.584402","-0.336479","-0.173536","0.0354451","0.197552","-1.21188","0.0715514","-0.894658","0.821504","-0.29753","-0.0156251","-0.00692442","0.0585438","-1.6437","0.0910079","-2.25209","0.482588","-0.00986643","-0.784981","-0.392668","-0.311886","-1.0119","-0.966627","0.362139","1.76277","-0.336375","-0.337232","-0.457162","-0.811206","-1.45093","-0.752869","-2.03698","-1.03652","0.0181035","-1.03642","-0.606491","-0.806387","-0.333637","-1.40329","1.81643"
