,ADK1_FO12_5,ARK1_BA,ARK1_F_BA,AVO1_FO12_5,BCK1_EDBA,BCK1_FODBA,BW25113_Ecoli_FO12_5,BW25113_Ecoli_S12_5,BW25113_S27_9,CAK1_FO12_5,CBK1_FO12_5,CCL1_FO12_5,CDC14_FO12_5,CDC15_FO12_5,CDC28_FO12_5,CDC28_het_F_BA,CDC28_he_BA,cdc34_FO12_5,cdc4_FO12_5,cdc53_FO12_5,CDC5_FO12_5,CDC7_FO12_5,CKA2_BA,CKI1_BA,CKI1_F_BA,CKS1_FO12_5,CLN2_EDBA,CLN2_FODBA,DAK1_BA,DAK1_F_BA,DBF20_FO12_5,DBF2_BA,DBF2_F_BA,DBF4_FO12_5,DUN1_FO12_5,ELM1_BA,ELM1_F_BA,FAB1_BA,FAB1_F_BA,FAR1_BA,FAR1_F_BA,FCP1_FO12_5,FMP48_EDBA,FMP48_FODBA,GLC7_BA,GLC7_F_BA,HOG1_EDBA,HOG1_FODBA,HRR25_het_F_BA,HRR25_he_BA,HSL1_BA,HSL1_F_BA,ILV3_F12_9,ILV3_S12_9,IPL1_FO12_5,IRE1_EDBA,IRE1_FODBA,ISR1_FO12_5,J_WT_Gal_FO12_5,J_WT_Gluc_FO12_5,KIN28_FO12_5,KSP1_EDBA,KSP1_FODBA,KSS1_het_F_BA,KSS1_he_BA,LST8_FO12_5,MCK1_BA,MCK1_F_BA,MEC1_FO12_5,MG1655_Ecoli_FO12_5,MG1655_Ecoli_S12_5,MG1655_S27_9,MKK1_EDBA,MKK1_FODBA,MPS1_FO12_5,NNK1_FODBA,NPR1_EDBA,NPR1_FODBA,PBS2_FO12_5,pdryCG196log_FODBA,pdryCG196_FODBA,pdryCG200_FODBA,PFK27_BA,PFK27_F_BA,PFK2_BA,PFK2_F_BA,PHO85_het_F_BA,PHO85_he_BA,PKC1_FO12_5,PRR2_BA,PRR2_F_BA,RAD53_het_F_BA,RAD53_he_BA,RIO1_EDBA,RIO1_FODBA,RIO2_FODBA,SCD5_FO12_5,SCH9_F12_9,SCH9_S12_9,Sc_mata_F12_9,Sc_mata_S12_9,SDS22_FO12_5,SFP1_F12_9,SFP1_S12_9,SLN1_FO12_5,SLT2_EDBA,SLT2_FODBA,SNF1_het_F_BA,SNF1_he_BA,SSU72_FO12_5,TOR1_EDBA,TOR1_FODBA,Tor1_GFP_BA,Tor1_GFP_F_BA,TOR2_EDBA,TOR2_FODBA,Tor2_GFP_F_BA,Tor2_GF_BA,TSCII_FO12_5,WT-TB50_BA,WT-TB50_F_BA,WtandRap_BA,WtandRap_F_BA,WTScer1448log_EDBA,WTScer1448log_FODBA,WTScer1448_EDBA,WTScer1448_FODBA,WTScer1450_FODBA,WT_hetdip_FO12_5,WT_mata_FO12_5,WT_pombe_FO12_5,YCK3_BA,YNK1_BA,YNK1_F_BA,YPI1_FO12_5
KM 05978,-0.171631,0.0354304,-0.515121,-0.539019,0.431392,-0.691041,-0.155697,-0.141407,0.293434,-0.0339795,-0.191536,-0.388669,-0.256958,0.115854,-0.31724,-0.710109,0.122961,-0.162526,0.0768759,-0.765319,-0.0907309,-0.289463,-0.0225261,-0.249864,-0.268759,-0.378402,-0.0531045,-0.425632,0.0801597,-0.674944,-0.712406,0.67899,-0.234268,-0.435584,-1.24853,-0.0674728,-0.521265,-0.0825677,-0.452353,0.292708,-0.284058,-0.412989,0.114125,-0.445259,0.177935,-0.0109787,-3.93126,-0.599972,0.0307929,-0.125765,-0.149902,-1.18428,-0.400703,0.856297,-0.179623,1.3365,-0.203434,-0.64815,0.0529005,-0.415021,-0.732204,0.445597,-0.451247,-0.394964,-0.0387232,-0.0708642,0.656448,-0.685367,-0.532345,0.0607591,-0.477785,0.442706,0.335437,-0.549532,-0.521485,-0.360265,0.528613,-0.3803,-0.631496,1.2774,0.670926,0.907664,-0.656114,-0.831028,0.279159,-0.0524307,0.00195421,0.228713,-0.632632,0.136491,-0.37511,-0.131816,0.455842,0.336934,0.30646,-0.364281,-0.300306,-0.326045,0.750046,-0.654485,0.585622,-0.213127,-0.368878,0.334234,-0.681614,0.952376,-0.435446,-0.0956339,0.429878,-0.206936,0.731312,-0.0480881,0.584792,-0.275708,0.402692,-0.0710848,0.0201106,0.588081,-0.248622,0.485105,-0.537319,-3.84316,-3.60596,-0.00139588,-0.430544,-2.54189,-1.40052,0.0653287,-0.205683,-0.725209,1.37834,0.0580279,0.192791,-0.29543,-0.713758
KM 05992,-0.256406,-0.245234,-0.500114,-0.451427,0.219494,-0.7075,-0.48922,-0.992948,-0.448807,-0.0681587,-0.395424,0.104632,-0.575832,0.341455,-0.33538,-0.246417,0.0621552,-0.098688,-0.167648,-0.552072,0.00812761,-0.511317,0.0512893,-0.445628,-0.256062,-0.339836,-1.09999,-0.426622,0.0872963,-0.473181,-0.631367,0.673221,0.0648906,-0.117159,-0.0720804,-0.324046,-0.305325,-0.468572,0.127285,0.182815,-0.061087,0.1959,-0.226324,-0.982773,0.037272,0.218979,-4.91345,-0.666518,0.0464988,-0.290526,-0.248179,-0.95116,-0.209627,0.370868,-0.400219,1.00957,-0.195527,-0.260895,0.482818,0.287363,-0.00228534,0.0755655,-0.940704,0.0300727,0.0375843,-0.396618,0.415221,-0.682761,-0.176177,1.23848,0.231181,0.0427446,0.133767,-0.348134,-0.164827,-0.353829,0.124659,-0.440748,-0.941783,0.528125,0.231341,0.43569,-0.923866,-0.396789,-0.0920556,-0.623703,0.229634,0.390824,-0.30448,-0.389393,-0.393467,0.0883369,0.579809,0.0778352,-0.377572,-0.322248,-0.221893,-0.31955,0.125608,-0.61398,0.379106,-0.1351,-0.1029,0.106635,-0.0761476,0.127688,-0.0941416,-0.0524267,0.23615,-0.0782516,0.450619,-0.0407268,0.441319,0.29176,0.122836,0.38355,0.614016,0.589932,-0.308977,0.4799,0.390653,-3.30911,-3.1631,-0.32917,-0.673735,-3.44711,-0.589414,-0.120607,0.264934,-0.394677,0.815786,-0.0139882,-0.153575,-0.0939845,-0.856774
KM 06072,-0.673129,-0.161988,-0.484302,-0.695853,0.490347,-0.493505,-0.505356,0.277995,0.675297,0.103655,0.0323425,0.185454,-0.0148204,0.368291,0.0951205,-0.261248,0.0853874,0.0768777,-0.0720792,-0.629577,0.105743,-0.00464776,0.0774277,-0.277814,-0.24764,-0.0772994,-0.0767864,-0.0988066,-0.135758,-0.725548,0.732932,0.357819,-0.270297,-0.0142325,-0.547098,0.101487,0.199913,-0.214346,0.134847,0.0263628,-0.268515,-0.0655077,-0.190125,-0.8197,0.0157097,0.190947,-4.10538,-0.538804,-0.303774,-0.383119,-0.584216,-1.19877,-0.147085,0.881565,-0.485575,0.78323,-0.581831,-0.659039,0.320658,-0.0895427,-0.113185,0.282609,-0.540276,-0.345208,-0.204336,0.0891475,0.360688,-0.868346,-0.0585864,-0.560043,-0.784417,-0.582578,-0.259712,-0.931343,-0.256917,-0.574464,0.436985,-0.287035,-0.280054,0.419781,0.195183,0.368513,-0.450138,-0.194565,0.0762988,-0.179379,-0.177999,0.07841,-0.126883,-0.183914,-0.412606,0.311569,0.325453,0.156739,-0.144561,-0.338979,-0.169572,-0.458898,0.420411,-0.984112,0.237968,-0.0769743,-0.062354,0.412963,-0.40341,1.44344,0.0597164,-0.25582,-0.0346522,-0.0606817,0.507239,-0.0317843,0.0677079,-0.134399,0.272882,-0.274358,0.462014,0.722761,-0.210374,0.292785,0.386375,-3.70758,-3.5233,-0.262552,-0.917184,-2.29265,-0.730837,-0.121874,-0.111098,-0.723256,0.636401,0.185904,-0.0348095,-0.126306,-0.118326
KM 06357,0.0472031,0.462473,0.479782,-0.113531,0.867288,0.142034,-2.26804,-0.813528,-0.510042,0.336722,0.550156,-0.124005,0.244856,0.607377,0.139118,0.19927,0.512068,0.118798,0.164049,-0.0574954,0.168686,0.32555,0.313971,0.533335,0.543611,0.511864,0.0462415,0.0504749,0.486496,0.163811,0.120307,0.733995,0.0102276,0.248807,0.117076,0.124311,0.452042,0.626167,0.711536,0.502754,0.602339,0.195223,0.489562,0.0457281,0.164513,0.145214,-2.22106,0.266887,0.236367,0.144759,0.402368,0.242765,0.351705,1.05471,0.2286,1.80164,0.605737,0.299061,0.576453,0.23859,0.234033,0.774019,0.558723,0.259174,0.529245,0.735398,1.03315,0.302658,0.0373623,0.447494,-0.0386062,0.207034,0.627521,0.462151,0.0834415,0.342198,0.823225,0.0790621,0.13088,0.744811,0.396896,0.43569,-0.0398825,0.455903,0.369545,0.262945,0.262794,0.428053,0.0153174,0.44499,0.512693,0.308474,0.374469,0.546642,-0.144889,0.170653,0.398684,0.605783,0.987314,0.299955,1.03483,-0.0362465,0.157393,0.966547,0.107061,2.64739,0.387095,-0.00116321,0.325933,0.262709,0.816969,0.183088,0.803689,0.62202,0.707084,-0.0513314,0.751917,0.409734,0.223622,0.873763,0.752468,-1.8,-1.58656,0.329506,0.514997,-1.39716,-0.805761,0.092781,0.074815,0.173072,0.389019,0.505757,0.498179,0.583681,-0.0201672
KM 06408,0.0489317,0.595999,1.19376,0.0647545,0.172749,0.563482,-0.2288,-1.05521,-1.0691,0.726683,0.365802,0.041333,-0.63968,0.210644,-0.155729,0.180437,0.0320476,0.0234782,-0.44815,0.0974047,0.305189,-0.278528,0.28518,0.624472,1.32972,-0.205821,0.840262,0.553699,0.36058,0.360597,1.14303,0.643853,-0.34212,-0.109827,0.485589,0.314362,0.451316,0.548246,1.0986,0.782909,0.820852,-0.138422,0.671828,0.671357,0.16821,0.646811,-2.44072,0.932639,0.614584,0.260033,-0.176442,-0.246589,-0.0938231,-0.760139,0.495728,1.65079,0.4209,0.700424,0.336387,0.721592,-0.156864,0.851553,0.532721,0.487035,-0.0370808,0.512063,1.04888,0.512188,0.100178,0.267278,-0.321178,-0.850846,0.125834,0.860915,0.21121,1.03486,0.449937,0.229029,1.76052,1.06376,0.433054,-1.25935,0.543759,0.886959,0.374651,0.703129,0.0646816,-0.0824316,0.0954676,0.660801,0.958667,-0.138582,-2.04846,0.285901,0.306349,0.435916,0.0198035,1.00907,0.884341,0.557871,1.10035,0.199386,0.0233735,0.0605865,0.409607,0.252902,0.710447,0.0416219,-0.368923,0.171882,0.97248,1.03153,0.440036,0.593179,0.407085,0.868908,0.599915,0.152361,0.477189,0.733659,0.37092,1.81778,2.15661,0.00627853,0.49054,-1.12571,0.574679,0.122056,0.237788,0.501532,-0.0434093,0.289533,0.356019,0.571936,0.235415
KM 06494,-0.527786,0.189082,-0.663234,-0.758151,0.31138,-0.0953166,0.57408,-0.612408,-0.442962,-0.345447,-0.336752,-0.457488,-0.436784,-0.353208,-0.463251,-0.317294,0.372994,-0.210209,-0.396901,-0.930341,-0.510846,-0.620332,-0.175074,0.232971,-0.473159,-0.242812,1.8216,0.343993,0.250067,0.105155,0.344926,0.676878,-0.369307,-1.60348,-0.387706,-0.283093,-0.652783,-0.166877,-1.00608,0.178149,-0.687356,-0.285503,0.109716,-0.0923265,0.117327,-0.395123,-3.59092,-0.373463,-0.266074,0.40825,0.0305178,-0.252143,-0.480514,0.883493,-0.153613,1.70738,0.0301267,-0.0795449,-0.555126,-0.250263,-0.537376,0.824473,0.24233,-0.104565,0.412659,-0.0929227,0.773023,-0.868563,-0.452929,0.818523,-1.14559,-1.57747,-0.0834564,-0.131054,-0.603571,-0.108077,0.546988,-0.0492983,-0.149627,-0.762871,-3.65079,-3.45599,0.219746,0.200912,-0.247658,-0.619877,-0.556003,0.0977334,-0.520417,0.407578,-0.24225,0.0767298,0.565518,0.239948,-0.600132,-0.480788,-0.538515,-0.0674527,0.892115,-0.0624876,1.18331,-0.540593,-0.460617,1.18975,-0.868003,2.04702,0.312623,-0.398359,0.526028,-0.263301,0.720286,0.186719,0.87228,-0.0486259,0.409145,-0.463607,0.186214,0.677534,-0.426256,0.955529,-0.197377,-3.46875,-3.38169,0.533096,0.00198255,-1.54932,-1.38808,-0.299314,-0.6381,0.0974334,-1.27906,0.207766,0.174524,-0.230569,-0.543359
KM 06508,-0.270444,0.619828,-0.235487,0.86597,0.107049,0.60061,-2.28225,-0.322073,-0.137951,0.663958,0.184605,0.435621,0.663576,0.352122,0.181428,0.695738,1.14787,0.535656,0.381223,-0.455,0.609565,0.352135,0.904685,0.833421,-0.251564,0.244183,-0.647394,0.041515,1.23238,0.30485,0.106441,0.707128,0.977489,0.0172842,0.943829,0.17684,0.0958718,-0.0855212,0.389402,1.24057,1.25844,0.619466,1.52911,0.630492,1.07646,0.997024,0.177295,0.644092,0.925497,1.68932,0.881679,0.197708,0.153569,1.5349,0.673674,0.434182,0.580568,0.310959,0.0764471,-0.746852,0.580534,0.499387,0.344903,0.835082,1.3167,0.513653,0.469692,0.229032,0.207363,-0.418694,-0.145747,-1.18209,0.911471,0.585015,0.711484,0.391724,0.521874,0.189244,-0.927689,0.952192,0.634387,0.462033,1.0822,0.436502,0.953031,0.181795,0.899647,1.44211,0.34787,0.867763,0.105624,0.933856,1.48718,2.16894,1.22976,1.26316,0.33283,0.186457,0.538262,0.0600044,0.633708,1.04532,0.245293,1.19548,0.449988,-4.5317,0.70676,0.310598,1.29381,0.379877,0.321684,0.847299,0.817539,0.437104,1.22756,1.28157,-0.573436,0.00769825,0.569222,0.87128,0.484831,-4.11135,-4.05819,1.34983,0.457347,-2.69373,-1.42066,1.40851,0.853894,-0.220344,0.0812274,0.945593,1.09247,0.255734,0.466671
KM 06529,-1.48867,0.273606,-1.19287,-0.839674,0.0341334,-0.626013,-0.358076,0.483179,0.053595,-0.933089,-0.780462,-1.03067,-0.759944,-1.32794,-0.748964,-1.20322,0.222188,-0.944953,-1.29418,-0.243291,-0.75489,-0.994036,0.079891,0.392806,-1.4813,-0.931026,-3.29496,-1.44448,0.376654,-1.181,-0.808111,-0.373364,-0.638811,-1.51077,-1.06189,-1.05469,-1.91489,-0.282171,-1.15597,0.491363,-0.99722,-0.654743,1.18511,-0.632397,-0.109051,-0.921248,-3.27424,-0.947369,-0.156412,1.12415,0.396585,-1.41302,-1.36691,0.907787,-0.907776,-0.200257,-0.808763,-0.546856,0.185002,1.65408,-0.693869,0.0886783,-0.943075,-1.18849,0.645122,-1.19035,0.0935583,-0.701523,-0.768816,0.273433,0.600921,-0.0509114,0.454584,-1.13917,-0.772814,-0.244167,0.34719,-0.572248,-0.0326976,-2.16286,-1.21618,-2.04883,0.282859,-1.35453,0.302848,-1.4064,-0.557692,0.725529,-0.831978,0.408097,-1.03801,-0.571215,0.963428,1.41876,-0.622199,-0.832787,-0.990154,-1.03124,0.117867,-1.6954,0.105378,-0.685496,-1.1849,0.240153,-1.08451,-3.57344,-0.907568,-1.03077,0.699455,-0.843899,-0.0178734,-0.645589,0.471885,-0.914754,0.481221,-0.0397619,-1.45139,-1.43304,-0.909584,-0.0116069,-0.952925,-1.81585,-1.69091,0.798233,-1.02443,-4.30461,0.343927,-0.27494,-0.720605,-1.33889,-0.470244,0.448373,0.334064,-1.55573,-1.04959
KM 06598,-5.29353,-2.39665,-1.61173,-5.22884,-2.1277,-2.29651,0.0278836,-0.54096,-1.20456,-5.3933,-4.99124,-4.76332,-4.06062,-5.96368,-5.11433,-5.55559,-3.8119,-8.11059,-5.72852,-6.58005,-5.56108,-5.52387,-1.87499,-2.58519,-2.16655,-5.06432,-5.93263,0.0819482,-2.71198,-1.74136,-1.60377,-4.51489,-7.13218,-5.2342,-4.09198,-1.42376,-1.48442,-5.02768,-2.48192,-3.43546,-3.00232,-5.45219,-1.36767,-2.12199,-5.11683,-6.68739,-14.4948,-2.37062,-4.21586,-3.92382,-1.26445,-2.03183,-6.02916,-4.54378,-4.77949,-2.7046,-1.77593,-1.9807,-5.2475,-3.81367,-3.85928,-2.12588,-1.26806,-5.13886,-3.08628,-5.41512,-4.61976,-2.24739,-5.28579,-0.491965,-0.163836,-0.512643,-2.57312,-1.6471,-4.56899,-2.53692,-2.50091,-1.9712,-0.488107,-0.607361,-0.917842,-0.930938,-3.41555,-1.95992,-1.73764,-1.97986,-5.74818,-3.96553,-5.58784,-2.33647,-1.90519,-5.72549,-4.8543,-3.04644,-5.7281,-6.05665,-5.6138,-1.90376,-2.07787,-1.96385,-2.88218,-5.45776,-7.0845,-5.68221,-5.73654,-11.708,-2.52352,-5.39308,-3.53762,-5.17188,-2.59895,-3.21986,-5.68402,-10.5321,-4.42896,-6.1545,-27.0512,-7.19848,-5.34752,-1.37894,-2.76721,-1.54176,-1.35273,-1.74486,-1.83472,-9.02612,-2.57769,-4.76853,-5.19561,-1.11501,3.28425,-4.07202,-2.29827,-1.88581,-4.88435
KM 06623,-1.37109,-1.15095,-0.827513,-1.12717,-2.08567,-0.363832,0.052517,0.170679,0.180206,-1.49898,-1.37124,-1.05623,-1.07011,-1.40652,-1.6906,-1.24489,-1.35964,-1.75246,-1.17442,-2.0107,-1.3933,-1.69723,-0.962642,-1.10247,-0.723997,-1.07317,-4.09834,0.351003,-0.82514,-0.684177,-0.283166,-2.91527,-1.30084,-1.42742,-1.85762,0.250205,0.567631,-0.447621,0.19194,-1.50493,-1.14526,-1.20162,-0.673701,-0.328786,-1.90418,-1.45407,-7.13507,0.136661,-1.02687,-1.8583,-0.232729,-0.402418,-2.04974,-1.60092,-1.10161,-1.47763,-0.495136,-0.781406,-3.29692,-12.94,-0.454549,-1.47703,-0.206247,-1.4347,-1.58038,-0.548785,-1.33615,0.587785,-1.24702,-0.0115929,0.354395,-0.0384882,-1.29162,-0.732895,-1.04299,-1.02875,-1.82787,0.0620612,0.373131,-1.34218,-1.61029,-4.92034,-0.962197,-0.697334,-0.77341,-0.519105,-1.92471,-1.92583,-1.39025,-1.10685,-0.6014,-1.06658,-1.31495,-1.33921,-2.11192,-1.80591,-1.24718,-0.191388,-1.94057,-0.74766,-1.19103,-1.63162,-2.14444,-2.25404,-1.28152,-10.5621,-0.526542,-1.302,-1.38374,-1.05478,-1.91229,-1.192,-2.30773,-1.47219,-2.07904,-2.20247,-1.28369,-0.842575,-1.60081,-1.55991,-0.944222,-3.52891,-3.38183,-1.13894,-0.617685,-7.26632,1.23169,-1.21075,-1.20628,0.107557,-1.95325,-0.681488,-0.943615,-0.529955,-0.993989
KM 06760,-0.11086,0.740051,0.476928,-0.150608,0.00664798,0.896384,-2.16272,0.145192,0.193381,-0.476905,-0.219732,-0.724178,0.0804747,-0.490253,-0.877795,-0.140724,0.42837,-0.945241,-0.470402,-0.920589,-0.238574,-0.576227,0.69685,1.06424,0.73065,-0.676369,-1.1276,1.00449,1.06968,0.839406,0.266083,-0.579749,0.192591,-0.342104,-0.0811782,0.756643,0.991372,0.13832,0.860017,0.652424,0.248987,-0.506172,0.803906,0.760423,0.317682,-0.268772,-1.13717,1.70701,-0.612189,0.377744,1.05853,0.234055,-0.640861,0.72732,-0.459495,0.362229,0.776709,0.270441,0.405774,0.658769,-0.116602,0.426106,0.385678,-0.3055,0.685495,-0.363852,0.771358,0.693297,-0.484363,-4.69574,-2.18004,-3.07564,0.527284,0.990679,-0.624645,0.234905,0.119187,0.804668,1.1223,0.221428,0.120828,0.462033,0.987657,0.786218,0.749143,0.648118,-0.747462,0.478845,-0.674289,0.78294,0.463373,-0.521202,0.418491,1.14765,-0.385887,-0.48002,-0.515542,1.49938,0.560855,0.393923,0.519003,-0.4815,-0.727996,0.502545,-0.765398,-4.64342,0.706414,-0.0190014,0.797149,-0.344778,-0.0807475,0.390822,-0.018726,0.0866534,0.342584,-0.044769,0.0118648,0.157266,-0.549716,0.220983,0.492313,-1.71306,-1.52182,0.419335,1.06067,-2.97069,0.830933,-0.0575183,-0.131358,0.464694,0.489258,0.95039,0.89567,0.570757,-0.333313
KM 06859,-2.71689,-1.69806,-0.660907,-2.12768,-2.13535,-0.74854,-0.453848,-0.10914,-0.79784,-2.45084,-2.88036,-2.96954,-1.90309,-2.80967,-3.16447,-2.50374,-1.71127,-4.08653,-2.83601,-3.84384,-2.58842,-2.86798,-5.3111,-1.86587,-1.00446,-2.84342,-6.77163,0.748813,-3.8494,-0.410706,-0.820272,-7.11027,-23.664,-4.12133,-0.903579,-1.31819,-1.27657,-5.4648,-2.04682,-2.46339,-1.28188,-2.66786,-1.8338,-0.253566,-0.72945,-1.68622,-5.49612,0.447913,-2.00448,-1.98027,-1.11681,-0.11528,-3.7857,-2.42747,-2.83355,-2.08712,-0.377524,-0.927812,-26.5194,-7.60809,-1.92111,-0.826215,-0.40012,-2.33206,-1.04516,-2.95506,-4.88412,-1.47781,-2.47505,-3.40672,-2.33882,-0.954742,-2.03572,-0.109897,-2.75305,-1.32599,-2.22373,-0.794506,0.840562,-16.2191,-8.84913,-4.23587,-4.30397,-0.503709,-1.04898,-0.150469,-2.40931,-1.27056,-3.15637,-1.32826,-0.409377,-2.23622,-2.54163,-1.3213,-3.33632,-2.78376,-3.68144,-0.0357366,-0.326662,-0.84197,-3.98276,-2.04344,-3.00534,-1.31882,-2.65821,-10.1606,-0.329516,-3.19282,-2.67737,-2.79947,-1.75118,-1.71829,-7.72093,-12.1368,-1.98921,-2.46427,-26.3124,-7.14527,-2.28585,-9.21626,-18.9973,-2.67238,-2.53637,-0.800963,-0.63057,-10.2663,-2.18632,-2.14171,-2.55182,-0.392027,0.533707,-3.33007,-1.951,-0.258259,-2.54039
KM 06944,-7.29463,-2.10768,-4.99252,-5.591,-1.67205,-2.61484,0.855061,-0.837648,-0.742371,-5.60398,-5.89227,-5.5716,-5.77077,-5.80096,-5.77978,-5.86736,-2.81549,-5.01574,-6.13157,-2.89364,-6.26621,-6.4019,-1.38951,-2.45007,-6.16217,-6.61862,-7.39197,-2.14324,-1.1657,-3.46706,-4.26533,-1.32072,-1.99648,-8.10714,-4.69407,-1.61625,-3.53154,-0.834026,-2.56737,-0.552104,-3.02237,-5.62606,0.0871242,-2.42792,-1.04899,-3.06595,-5.7015,-1.08627,-4.81571,-4.1291,-1.75396,-5.15509,-6.99632,-3.604,-5.30463,-0.977677,-2.13094,-4.31938,-3.33252,-14.6174,-5.88203,-2.17772,-3.75869,-5.9893,-3.92704,-6.96934,-1.82732,-2.3795,-6.35829,0.5162,-0.715523,-2.59077,-2.14092,-3.4074,-5.6331,-4.04786,-3.04672,-3.65492,-0.652241,-11.5533,-8.27669,-6.63159,-0.603595,-3.16736,-2.50284,-4.73414,-5.77243,-3.53059,-6.52603,-0.33221,-3.17128,-4.15854,-2.63602,-2.98567,-5.58423,-6.73438,-5.84268,-1.06667,-1.42103,-5.75995,-1.83536,-4.80869,-6.66784,-3.1096,-6.52114,-7.92818,-2.48514,-5.65347,-2.89806,-5.06422,-2.52152,-5.09702,-1.08731,-2.13824,-1.55508,-3.98668,-4.33515,-3.15388,-5.57431,-4.61647,-4.80401,-1.4561,-1.35273,-1.37491,-3.17257,-9.73556,-0.539854,-4.6253,-5.41138,-3.7702,-1.94786,-1.46912,-1.45096,-3.77512,-6.65404
KM 06947,0.0277155,-14.339,-30.055,-18.1822,-7.7222,-36.3604,1.46134,-0.960473,-1.07119,-20.8445,-29.2181,-16.831,-13.2139,-24.7685,-12.7371,-13.1078,-13.6507,-18.9017,-15.8113,-10.8517,-24.4282,-20.943,-12.5489,-16.1046,-38.176,-9.64247,-23.2907,-23.4346,-13.1221,-35.8832,-14.4333,-7.5946,-26.9489,-1.38087,-47.0843,-21.2901,-34.619,-19.1307,-33.2976,-14.4294,-38.1489,-28.219,-8.98441,-32.9388,-13.8294,-12.5589,-24.0644,-18.9409,-21.7041,-12.1953,-15.2142,-32.4293,-8.05035,-15.0384,-20.5003,-7.6905,-29.2302,-14.3091,-28.3192,-7.47785,-4.68947,-9.0148,-22.7208,-19.5955,-13.1247,-22.4906,-11.2798,-30.3526,-19.193,-0.335588,-2.45112,-4.40348,-9.35311,-28.9324,-11.9589,-27.7151,-8.59908,-28.0747,-21.833,-12.1813,-7.58256,-2.61668,-13.2519,-39.1587,-16.3172,-41.6472,-18.0257,-12.1408,-24.6327,-14.0196,-36.2114,-14.1202,-12.4643,-12.2902,-15.6976,-15.9782,-25.7113,-29.193,-9.53578,-34.5749,-12.1406,-24.2567,-31.7286,-13.7189,-19.6147,-23.9853,-31.9654,-31.0913,-13.0617,-22.9232,-6.90345,-33.1037,-11.0409,-35.9203,-12.6126,-21.8408,-27.3438,-7.24106,-18.3624,-9.89871,-30.4071,-4.0257,-3.8891,-8.34656,-21.3724,-23.407,-1.4924,-2.36748,-11.9371,-33.7338,-0.375126,-10.9071,-15.9554,-39.0864,-18.4774
KM 06986,-0.0513945,-0.281771,-0.657254,0.0548648,-1.8023,0.581353,-1.36791,0.359095,0.661121,0.319082,0.35781,0.05609,0.11159,0.173375,0.0324957,0.292151,-0.0917903,-0.101681,0.0498832,0.065978,0.265779,0.426643,0.0936996,-0.0511345,-0.105374,-0.318177,-4.84449,-0.325187,-0.621128,-0.212323,-0.150739,-0.525687,0.448736,0.428805,0.465894,-0.580042,-0.526389,-1.54356,0.353181,0.3641,0.418408,0.500062,0.224657,-0.0152563,0.0589397,0.220726,-4.87416,0.711283,0.577912,-0.340299,0.000567874,-0.426124,-0.197521,0.649259,0.186431,-0.990661,0.616352,0.250262,-0.345599,-0.57566,0.101288,-0.600748,-0.211901,0.253357,0.594444,0.278248,0.0694299,0.527215,-0.1728,-2.7132,-1.35122,-0.54833,-1.11551,0.407311,0.0261372,0.808693,-1.41579,0.380454,0.490432,0.53577,-0.176944,-7.59048,-0.323519,0.0267052,-0.318148,-0.618798,0.0142697,-3.14E-05,0.343718,0.228157,0.145886,0.295272,-0.972641,0.876284,0.631625,0.454727,0.431389,0.427356,-0.135005,-0.350085,0.151742,0.163922,0.208474,0.344098,0.198752,-15.4666,-0.756049,0.368692,0.444767,0.23315,-1.08362,0.424676,-1.12805,0.583891,0.0549772,-0.206021,0.582918,-0.778064,0.204896,-1.4667,0.322833,-3.20343,-3.04365,0.422402,0.779573,-6.58391,-1.55392,0.231805,0.34102,-0.120406,-1.083,-0.589212,-0.120408,-0.284574,0.324438
KM 07115,-1.38642,-1.35438,-0.623875,-2.05668,-3.16415,1.83464,-1.14488,0.132023,0.282375,-1.7155,-0.988877,-1.26387,-1.6188,-0.964369,-0.879947,-1.78532,-3.41311,-1.66473,-1.49735,-1.90153,-3.68631,-1.86301,-0.768663,-1.17579,0.283572,-2.00184,-3.67007,0.832708,-1.59795,-0.304712,-0.204901,-1.4653,-1.318,-0.531029,0.10796,-1.61635,0.157682,-4.68511,-0.945447,-1.70824,-1.30504,-2.33953,-0.819616,-0.0863838,-8.57967,-3.42203,-1.85941,0.355148,-1.83616,-3.70014,-0.251085,0.438247,-2.13442,-3.79688,-1.28935,-1.62949,-0.330065,-0.373428,-1.18035,-1.90122,-1.22709,-0.950384,0.363202,-2.55961,-3.97998,-2.80992,-0.770701,-1.01413,-0.889165,-0.906364,0.226381,-0.238233,-1.74186,-0.0895347,-1.23198,-0.727188,-1.60452,-0.13975,0.334333,-3.68593,-1.43084,-7.81629,-1.96547,-0.323517,-2.52501,-0.665062,-3.12152,-4.08623,-1.31326,-1.66652,-0.460274,-2.95745,-4.37547,-3.82864,-2.51247,-3.00788,-2.19349,-0.09391,-0.254967,-0.210347,-0.968554,-2.02172,-0.585822,-3.42375,-2.22897,-9.70241,1.57371,-2.30057,-3.28043,-1.32422,-2.03512,-0.574972,-4.83095,-6.06135,-4.13768,-2.13366,-26.4516,-7.09704,-2.32313,-7.71449,-15.3892,-3.04925,-2.87455,-3.67904,-0.464932,-11.4435,1.88456,-1.58273,-2.00435,-0.39588,-0.728514,-2.21632,-1.9041,-0.850956,-1.17459
