"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"JFD 00912","-6.04444","-6.5948","-21.2806","-6.70096","-7.90825","-12.1116","-5.02749","-5.71545","-30.8238","-9.44301","-20.6735","-10.3054","-6.25177","-12.3947","-16.9677","-20.4808","-13.6211","-8.9225","-24.3345","-46.8529","-35.7323","-7.42963","-10.8932","-18.5825","-28.3378","-16.8059","-24.1174","-8.57262","-28.3434","-42.658","-21.172","-9.05437","-36.3479","-21.3808","-21.3608","-12.0312","-28.9797","-9.38394","-4.34904"
"JFD 00953","-6.09354","-6.5948","-20.6469","-6.70096","-7.87435","-12.0263","-4.97948","-5.78604","-30.2348","-8.61622","-20.8616","-10.2433","-6.20061","-12.2395","-16.8021","-20.4808","-13.7181","-8.9225","-21.8825","-46.5655","-36.136","-7.40628","-10.8985","-18.5825","0.995212","-11.1788","-23.9257","-7.41653","-28.2338","-42.658","-21.1023","-9.05437","-36.1443","-20.6675","-20.4264","-11.953","-29.014","-8.90612","-4.3361"
"JFD 00957","-5.58121","-4.68941","-17.6838","-5.89741","-6.19199","-1.54078","-3.83101","-5.5756","-19.5394","-0.967406","-18.6229","-4.46637","-3.08753","-2.33828","-6.88038","-0.732509","-12.2661","-2.3285","-17.9066","-45.7031","-35.3244","-4.44239","-8.22766","-1.18512","-0.209503","-0.340391","-12.5126","-4.20281","-22.7763","-14.3791","-18.3955","-3.20928","-18.6033","-1.09255","-17.3583","-8.61325","-20.7521","-2.2952","-2.76791"
"JFD 01196","-5.5288","-2.68341","21.0521","1.11465","-3.32572","0.558447","1.5332","-1.68946","-14.1134","0.76465","-12.0495","0.732525","0.475468","0.753479","-4.03557","0.971009","-11.0465","0.0898016","-17.6505","-45.9906","-35.5242","-4.16108","-6.14523","-0.843725","0.294377","0.237731","0.902704","0.794428","-26.5702","-34.0801","-13.6635","0.373144","-17.4106","-0.219824","10.5827","0.613661","-2.92561","-0.40879","0.145673"
"JFD 01251","-2.46912","0.189959","-10.5578","0.0407433","-6.47395","-0.00443747","-2.46385","-0.569687","-16.9393","-0.116785","-12.9803","-0.324371","-1.71879","-0.0736676","-4.59492","-0.453098","-10.1327","0.0395133","-30.0255","-46.4689","-36.136","-2.02122","-2.68712","-0.414725","-1.82452","-0.97204","-2.51016","-0.935311","-23.2449","-11.1388","-8.42742","-0.157563","-10.0202","-0.956448","-12.9041","-0.0844712","-11.8678","-0.360189","-0.0457726"
"JFD 01295","0.120885","0.517998","-1.52518","0.503709","-0.107233","0.615459","0.420527","0.153978","0.00830795","0.507356","-0.38106","0.342653","0.100112","0.730884","-1.20754","0.791361","-0.274012","0.51528","-3.73114","-1.1658","0.203928","-0.682974","-0.677404","0.622507","-0.33296","0.0998214","-0.443034","0.0474271","-0.180758","-0.770047","-0.99663","0.373144","-3.33179","0.268552","-1.68327","0.768454","-2.76905","0.301581","0.19084"
"JFD 01372","-0.060149","0.308561","-2.66849","0.288886","-0.0934842","0.389823","-0.269706","-0.128343","-0.279923","0.426924","-0.716587","0.075843","-0.133412","0.441525","-0.414859","0.648883","-0.0602849","0.351119","0.17264","0","0","-0.031391","-0.121224","0.746073","0.241388","0.288141","-0.16752","0.219326","0.388411","-0.486218","-0.36458","0.422917","-1.00075","0.532466","-2.12205","0.535242","-0.390965","0.470167","0.252234"
"JFD 01482","-6.11231","-6.58026","-25.3124","-6.85189","-7.83596","-12.1334","-6.57393","-5.73795","-30.72","-9.19353","-21.2208","-10.5247","-6.45336","-12.2265","-17.1433","-20.7197","-14.2235","-9.062","-30.4279","-47.0535","-36.5357","-7.40502","-10.9962","-18.6691","-38.6131","-25.0468","-27.4975","-16.0196","-28.7409","-43.3791","-20.9651","-9.16216","-36.5034","-21.5268","-24.7865","-11.8682","-29.3071","-9.49177","-4.40161"
"JFD 01634","-5.68756","-2.997","-13.9661","0.462965","-3.31991","0.319161","-5.98346","-2.74526","-20.6806","-1.78497","-10.7491","0.137375","-4.55585","-0.73713","-2.98932","0.542469","-9.44387","0.5605","-24.2843","-30.4677","-17.7376","-2.07234","-1.81124","0.622507","-0.226368","0.965441","0.122962","1.00251","-27.2465","-33.5117","-8.21754","0.223824","-6.26165","0.532466","-13.8297","0.688533","-6.97379","0.516085","0.231223"
"JFD 01743","-0.729721","0.0259393","-5.56575","-0.1037","-1.20345","-0.371399","-2.22314","-0.879675","-5.02715","-0.23357","-2.39959","-0.26284","-0.933461","-0.29245","-1.98197","-0.453098","-1.80412","-0.19837","-22.1702","-19.3093","-32.6896","-0.427682","-0.627224","-0.129067","-0.09954","0.780084","-0.123824","0.517687","-4.89519","-2.02226","-2.47868","-0.10779","-2.30589","-0.398711","-4.76385","-0.00455088","-1.59724","-0.0244873","0.00894772"
"JFD 01902","-5.6974","-3.94219","-20.4597","-2.18903","-6.36084","-0.216424","-6.19686","-3.69242","-27.3235","-5.56862","-13.0122","0.0143114","-5.52524","-2.88239","-9.8069","-0.168143","-12.5844","-1.262","-29.1517","-45.006","-35.1245","-5.12094","-7.89418","-0.252633","-1.228","0.572757","-0.348817","0.798848","-27.4383","-34.8474","-17.5868","-2.04895","-26.6351","-0.259276","-18.8045","-2.03928","-12.9362","-0.0195553","-1.15399"
"JFD 01936","-6.03127","-6.58026","-24.4033","-6.6667","-7.76988","-12.1334","-6.4832","-5.70223","-30.7319","-9.30645","-20.9446","-10.3913","-6.49425","-12.3041","-17.0797","-20.6133","-13.8668","-9.01678","-29.96","-46.4657","-35.7241","-7.39059","-10.7254","-18.5739","-0.764815","-12.5339","-24.4795","-8.06319","-28.2944","-42.8949","-21.1418","-9.11238","-36.1596","-21.1234","-24.0113","-11.335","-28.6868","-8.20028","-4.27783"
"JFD 01938","-6.00429","-6.58026","-24.7766","-6.7593","-7.96344","-12.204","-6.4602","-5.69417","-30.7276","-9.38301","-20.7931","-10.3194","-6.50261","-12.3041","-16.9772","-20.4708","-13.9934","-9.10722","-29.8996","-46.7596","-35.3203","-7.42625","-10.861","-18.4503","-37.6967","-16.2705","-24.5197","-8.78693","-28.326","-42.8949","-21.1528","-9.05437","-36.1318","-20.6902","-24.9412","-11.8748","-28.928","-9.11901","-4.27487"
