"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"MWP 00823","-0.102923","0.226941","-2.91304","0.142616","-0.653491","0.460672","0.306061","-0.280237","-3.49899","0.162646","-2.3015","0.0061406","-0.414906","0.523927","-1.08743","0.205659","-0.983679","0.443215","-5.45614","-4.31162","0.201828","-0.0926786","-0.733694","0.586838","0.631624","-0.0577523","0.624499","-0.638242","-3.31787","-1.49828","-2.71264","0.114116","-2.17865","0.282223","-3.50297","0.456076","-1.13894","0.406793","0.162832"
"MWP 00824","-6.0306","-6.58376","-23.8596","-5.5626","-7.93558","-12.204","-6.62788","-5.52332","-28.6164","-6.05888","-20.6176","-10.2798","-5.50875","-5.47342","-16.6762","-13.6903","-14.1068","-9.03291","-28.9819","-45.9906","-35.7948","-7.4345","-10.9415","-17.421","-3.10439","-9.49713","-20.91","-11.4349","-28.5711","-42.989","-20.9018","-9.01117","-36.0238","-16.6879","-19.8261","-1.10147","-29.3813","-5.2961","-4.04432"
"MWP 01044","-6.11291","-6.58376","-25.0113","-6.77965","-7.96444","-12.204","-6.73521","-5.8335","-31.0317","-9.55072","-21.0928","-10.411","-6.5616","-12.3679","-16.9065","-20.3897","-14.1577","-9.05958","-29.4568","-46.8529","-36.5902","-7.48695","-11.0138","-18.7935","-4.07245","-16.4216","-35.6978","-15.6565","-28.2755","-42.5153","-21.052","-9.01117","-36.2964","-21.4371","-25.5215","-11.9985","-29.1822","-9.47379","-4.37557"
"NH 00218","-0.669351","0.190737","-2.76357","-0.0276378","-1.11113","0.31776","-0.183902","-0.426897","-3.42777","0.00809285","-2.04324","0.470102","-0.706504","0.217346","-0.898741","-0.279794","-1.97203","0.469884","-26.8226","-38.2297","-35.7968","-0.429527","-0.615635","-0.422381","-0.00381007","0.871275","1.13561","0.819995","-5.23901","-2.72115","-2.81247","-0.0983011","-2.44741","-0.751331","-2.97594","0.38111","-1.70312","-0.096898","0.0801243"
"NH 00309","-0.824502","0.236154","-1.82614","-0.219616","-1.72014","0.234335","0.103903","-0.625621","-4.62123","-0.107074","-4.28288","0.0764682","-0.671329","0.210245","-1.64622","-0.382951","-3.55595","0.443215","3.21321","-2.29953","-2.98191","-0.210288","-0.629894","-0.112777","-1.69616","1.15806","-0.702426","0.370153","-7.15748","-2.17036","-2.67711","-0.000745475","-2.03452","-0.766001","-2.27667","0.0696006","-2.89786","0.0892207","-0.0454456"
"NH 00313","-2.55155","-0.426022","-12.5326","-0.542001","-4.27395","-0.766405","-3.32628","-1.30832","-18.3422","-0.834464","-11.1343","-0.96378","-2.83115","-0.987677","-5.59263","-1.83931","-10.726","-0.363944","-28.4514","-45.7031","-35.7948","-1.32108","-3.10279","-1.31053","-1.99851","-0.509972","-2.39951","-1.61344","-23.2516","-8.9354","-10.3296","-0.939317","-9.96808","-1.66303","-11.8934","-1.17644","-11.4602","-0.62807","-0.331958"
"PD 00103","-2.49949","-0.135744","-7.38958","-0.350022","-2.94301","-0.385187","-2.97565","-1.48138","-13.2849","-0.488965","-7.6746","-0.7108","-2.43649","-0.616877","-4.41426","-1.11113","-6.63074","-0.363944","-28.591","-45.1282","-31.598","-0.696072","-2.55455","-0.328114","0.175076","-1.04097","-1.10726","-2.57928","-16.8718","-3.39323","-8.24643","-0.310718","-8.05586","-0.629472","-9.00142","-0.795785","-6.15021","-0.266652","-0.247177"
"PD 00112","-6.08818","-6.58376","-22.7423","-6.49711","-7.97239","-12.1086","-6.26124","-5.66925","-30.1683","-9.35977","-20.9677","-10.3407","-6.36806","-12.1469","-15.5541","-4.7277","-14.236","-8.98669","-28.8884","-46.8529","-35.9927","-7.26909","-10.883","-15.9007","-0.919851","-1.38165","-1.68776","-2.28224","-28.3508","-42.989","-20.5528","-8.83888","-36.0667","-16.3472","-23.829","-11.7561","-28.4189","-9.49564","-4.37105"
"PD 00115","-5.99405","-6.43894","-17.0577","-3.83119","-7.97004","-11.9777","-6.07875","-5.54898","-30.1153","-9.05366","-20.8402","-10.2","-6.40334","-12.0756","-15.7957","-9.15737","-14.0485","-8.79468","-27.194","-45.4157","-35.3931","-7.39091","-10.4861","-7.55987","0.456553","-1.37764","-0.767555","-2.6899","-27.2085","-41.1711","-20.8317","-8.85618","-35.72","-11.9162","-23.3766","-11.4446","-28.6844","-7.87075","-3.89977"
"PD 00185","-5.9292","-6.49293","-21.1626","-6.09143","-7.77848","-11.5605","-5.81995","-5.68684","-30.5229","-9.32039","-20.5269","-9.99848","-6.55946","-12.3679","-8.52094","-1.00797","-13.89","-8.41065","-29.5382","-47.1403","-36.3904","-5.2103","-8.70453","0.0757568","0.432237","-0.11726","0.125381","-0.643208","-27.9946","-42.5153","-20.6977","-8.29053","-27.5879","-0.356413","-24.2207","-11.0814","-15.6086","-8.8879","-4.28825"
"PD 00388","-0.93232","-0.507643","0.209296","-0.813675","-1.18598","-0.766405","-0.119359","-1.36845","-6.07039","-0.989018","-3.19551","-0.902896","-1.29227","-1.21584","-1.97819","-1.73615","-2.31968","-0.436838","0.849603","-0.862323","-0.595591","-0.525415","-0.808464","-0.422381","0.798315","0.89856","0.168683","0.205759","-5.74746","-5.21114","-3.62086","-0.620691","-3.11731","-0.88786","2.48371","-1.18226","-2.56599","-0.365243","-0.450603"
"PD 00406","-5.99226","-6.50214","-23.1417","-6.79051","-7.84774","-12.0371","-6.25392","-5.8423","-30.64","-9.43555","-20.6945","-10.1486","-6.53883","-12.3679","-16.882","-20.6688","-14.0772","-8.98669","-29.1428","-46.8529","-36.5902","-7.4975","-10.7165","-18.4164","-0.607205","-8.67191","-9.68541","-12.6137","-27.9021","-42.7136","-20.7018","-8.85618","-35.7356","-21.4371","-23.7874","-11.0523","-29.1822","-9.5066","-4.40167"
"PD 00407","-6.13294","-6.61996","-23.3966","-6.77965","-8.00125","-12.204","-6.31081","-5.86797","-30.5797","-9.39916","-21.0664","-10.411","-6.51693","-12.3608","-16.9159","-20.5656","-14.151","-9.05958","-29.6483","-46.5655","-36.3904","-7.40657","-10.8453","-18.6049","-4.89215","-22.0889","-54.803","-18.7282","-28.2779","-42.7136","-21.0869","-8.96239","-35.7317","-21.164","-23.9804","-11.9985","-28.983","-9.49015","-4.38862"
"PD 00408","-6.1095","-6.66538","-23.4179","-6.81949","-7.92741","-12.1206","-6.26657","-5.8335","-30.6012","-9.39916","-21.0079","-10.3407","-6.53329","-12.4393","-16.824","-20.4261","-14.1384","-9.05958","-29.7149","-46.278","-36.3924","-7.45033","-10.8311","-18.5781","-4.93673","-22.6399","-55.2462","-19.0909","-28.2706","-42.7136","-20.9671","-9.01117","-35.9732","-21.1787","-24.0485","-11.9985","-28.7175","-9.43543","-4.3727"
"PD 00489","-6.02852","-6.58376","-22.2009","-6.72894","-7.90939","-12.1206","-5.88718","-5.72131","-30.3426","-9.28399","-20.9011","-10.3407","-6.46782","-12.2966","-16.9355","-20.6688","-14.0292","-8.98669","-30.2499","-46.8529","-36.3904","-7.45033","-10.7914","-18.6049","-41.4041","-26.5244","-34.0503","-17.2613","-28.0871","-42.4382","-20.8469","-9.01117","-36.2458","-21.4371","-23.4526","-11.9177","-28.9167","-9.39161","-4.35424"
"PD 00502","-6.06858","-6.58376","-23.329","-6.81949","-7.96623","-12.204","-6.24801","-5.8335","-30.3998","-9.32338","-21.0664","-10.411","-6.52945","-12.2895","-16.9063","-20.5656","-14.1536","-9.05958","-30.1217","-46.8529","-36.3904","-7.45421","-10.9054","-18.6992","-12.1282","-24.2951","-55.6336","-19.0473","-28.3598","-42.989","-21.0669","-9.01117","-36.1173","-21.3152","-23.6711","-11.9985","-29.1158","-9.46832","-4.39437"
"PD 00549","-0.0197936","0.226941","8.12667","0.102768","-0.681911","0.47264","1.40581","-0.71215","-3.38749","0.0474799","-2.42776","-0.0547433","-0.351856","0.516826","-1.07781","-0.140225","-1.10776","0.277872","-3.23428","-0.862323","-0.991332","-0.0998187","-0.682694","0.196826","0.295371","0.101996","0.11249","-0.621146","-3.22945","-2.72115","-2.19891","0.122769","-1.52046","0.145694","6.17007","-0.0111884","-1.7695","0.133227","-0.0135111"
"PD 00636","-0.843638","-0.126531","-0.613777","-0.712255","-1.29071","-0.301763","-0.555603","-1.04873","-5.61976","-0.719298","-4.316","-0.842012","-1.14615","-0.616877","-1.92457","-1.11113","-2.95213","-0.198601","-6.90206","-2.01209","-1.58692","-0.416495","-1.27514","-0.422381","-0.738826","-0.409227","-1.36049","-1.42408","-5.58861","-4.34071","-3.82261","-0.531788","-3.56517","-0.751331","0.0113276","-1.10729","-2.46643","-0.414498","-0.377409"
"PD 00642","-5.71048","-3.6244","-21.3122","-4.25128","-6.35972","0.698977","-5.68334","-4.26865","-13.8064","-1.77032","-16.5231","-0.635251","-2.04165","0.887627","-8.64508","0.345228","-14.025","-8.25242","-19.2522","-11.2102","-21.6886","-3.21164","-8.11941","0.654302","1.26296","-0.888518","0.359542","-1.11473","-26.5795","-30.9814","-19.8111","-5.21048","-19.9624","0.525942","-23.2416","-7.11259","-16.4714","-6.56686","-4.09938"
"PD 00760","-5.72592","-4.68871","-12.3298","0.193326","-7.78116","-10.8104","-2.43732","-0.124778","-22.2973","-0.55576","-19.9737","-7.77833","-4.75352","0.0250027","-13.4678","-5.67429","-12.9469","-4.82289","-15.8024","-2.87441","-3.77339","-5.85153","-9.25539","0.6275","0.376875","-1.74695","0.915527","-1.32937","-24.1344","-13.3974","-19.794","-4.42529","-28.8928","0.145694","-6.92454","0.38111","-24.6023","0.379798","0.0906276"
"PD 00766","-2.79267","0.390182","-10.8266","0.374442","-3.77133","0.615553","-3.60868","-0.859541","-7.09637","0.162646","-14.8611","0.268563","-1.33453","0.659466","-5.86003","0.0660892","-7.76697","0.469884","-16.9274","-4.59906","-0.791483","-1.18325","-2.55919","-0.0185102","-0.626262","1.16831","-0.272752","0.0976839","-10.0873","-1.69662","-15.3801","0.277755","-8.30143","-0.507612","-15.3983","0.375287","-9.96674","-0.311387","-3.32062"
"PD 00794","-6.12187","-6.66538","-24.4235","-6.91005","-7.95963","-12.204","-6.71031","-5.8335","-31.024","-9.47494","-21.3786","-10.4719","-6.59661","-12.5177","-16.2724","-8.66584","-14.2595","-9.05958","-30.9258","-47.1403","-36.7881","-7.49517","-10.9538","-16.4248","-0.7786","-4.034","-5.40857","-6.26466","-28.7734","-43.2644","-21.3471","-9.12603","-36.3782","-17.1708","-25.3015","-12.1542","-29.4145","-9.4902","-4.39978"
"PD 00795","-5.81113","-4.04302","-22.5476","-3.80209","-7.34446","-2.39864","-5.19511","-1.7395","-28.1935","-4.38366","-17.9157","-1.10443","-5.73603","-3.36932","-12.6137","-0.279794","-13.6932","-5.51803","-29.8081","-37.0799","-30.2425","-5.35147","-9.26357","-0.13958","-0.598534","-1.66214","-1.59938","-3.04459","-27.8595","-38.7696","-19.9607","-4.72821","-29.0368","-0.371083","-21.6327","-0.449335","-23.4408","-1.36711","-2.51901"
"PHG 00741","-1.12022","0.0729132","-4.34001","-0.168906","-1.86538","0.234335","-1.26436","-0.582357","-9.23995","-0.373799","-5.30425","-0.37805","-1.51572","-0.010815","-2.95766","-0.904816","-4.43967","0.185422","-28.5536","-34.4929","-31.6138","-0.431541","-1.83498","-0.13958","-0.10498","0.12419","-1.2137","-1.00754","-10.1686","-3.39323","-7.20617","-0.147079","-5.84753","-0.766001","-7.62015","-0.241909","-4.8891","-0.211934","-0.0739421"
"PHG 00960","-2.63193","0.317775","-7.81551","0.425153","-3.17095","0.544097","-2.63994","0.11721","-16.9584","0.199039","-9.64999","0.0061406","-3.05645","0.666567","-5.13499","-0.279794","-6.47532","0.542777","-25.175","-28.4567","-24.0314","-1.10479","-3.11088","-0.0185102","-0.366811","-1.26346","0.780786","-2.09958","-19.8477","-2.56704","-10.3597","0.0566853","-10.3147","-0.766001","-8.46146","0.848374","-7.77639","0.0563841","0.211251"
"PHG 00963","-1.96238","0.399395","-4.89229","0.515711","-1.97393","0.615553","-1.45793","0.0827447","-12.9339","-0.0282994","-6.34768","0.137352","-2.06253","0.666567","-3.79045","-0.206969","-4.64988","0.661896","-25.7926","-25.5823","-28.0007","-0.736117","-2.03753","-0.0185102","-1.04583","-0.900862","0.670632","-1.37601","-14.6085","-1.77367","-7.2748","0.00790747","-8.2428","-0.751331","-6.43129","0.929163","-5.48647","-0.0641153","0.187701"
"PHG 01009","0.303695","0.435599","0.125347","0.0737827","0.151566","0.627521","0.359046","-0.159243","-0.407128","0.314205","-0.643958","0.0764682","0.0931126","0.744987","-0.284208","0.205659","0.0865771","0.496552","-0.114056","-0.862323","-0.593612","0.0596842","0.115235","0.533233","0.94963","1.33812","-0.106846","0.440347","-0.130065","-1.57533","-0.330299","0.114116","-0.11444","0.145694","-0.176722","0.542688","-0.0105713","0.357781","0.122138"
"RB 00001","-5.87463","-6.49293","-24.3032","-6.69995","-7.80411","-11.8942","-6.74782","-5.79024","-16.3219","-1.75534","-20.7794","-10.2798","-3.23537","-0.574274","-14.3327","-9.64283","-14.0681","-8.91379","-28.3672","-40.8166","-35.7928","-6.11651","-10.7456","-16.7196","-0.98596","-0.290824","-10.0372","-4.62619","-27.4591","-40.94","-20.1556","-8.69254","-24.465","-11.1974","-25.0706","-11.8369","-29.1822","-9.47384","-4.38674"
"RB 00150","-5.94239","-6.45672","-24.261","-6.69995","-7.67889","-11.8228","-6.5644","-5.63478","-30.736","-9.47494","-20.6176","-10.2189","-6.37547","-12.2182","-16.9982","-20.5656","-13.8771","-8.91379","-30.2316","-46.8529","-36.1905","-7.31255","-10.7029","-18.4839","-81.3814","-27.9375","-53.1996","-18.8793","-27.735","-41.9645","-20.4162","-8.79875","-35.907","-21.4371","-24.9118","-11.7619","-28.8503","-9.44106","-4.32461"
"RB 00158","-6.05027","-6.66916","-24.5029","-6.81949","-7.99591","-12.269","-6.33423","-5.82981","-30.5861","-9.57972","-20.8849","-10.372","-6.38439","-12.4531","-17.0407","-20.7197","-13.1239","-8.98452","-30.0691","-46.7922","-36.3362","-7.46202","-10.7966","-18.5606","-0.0519637","-5.05407","-9.79321","-5.8558","-27.4841","-43.197","-20.9565","-9.05437","-36.415","-21.663","-25.5036","-12.0273","-29.3138","-9.50436","-4.40257"
"RB 00362","-5.8531","-4.04122","-16.6237","-0.480428","-7.7753","-8.07107","-5.12667","-2.44199","-28.6012","-5.96284","-19.224","-3.79914","-6.20881","-8.62918","-13.6201","-0.0977914","-12.9342","-6.42697","-29.1722","-35.7481","-23.6186","-6.54327","-8.96325","0.188708","-0.784374","-1.72673","-0.060958","-1.25725","-26.575","-36.6997","-19.5091","-2.75246","-28.8299","-0.00444589","-14.2205","0.0790846","-23.6762","0.250584","-1.29932"
"RDR 00047","-1.25089","0.309508","-7.03276","-0.158044","-1.96668","0.0865508","-1.70372","-0.690676","-9.65115","-0.310232","-4.22615","0.190361","-1.31242","-0.266229","-1.48982","0.1511","-0.86752","0.372752","-25.1296","-33.7136","-32.9045","-0.777897","-1.14937","0.342506","-0.388933","0.122295","-0.723598","0.0482498","-7.46749","-4.14119","-4.55597","-0.0247305","-2.92866","0.38248","-6.47494","0.232288","-1.57818","-0.167004","0.164972"
"RDR 00093","-2.63218","0.0298619","-8.32562","0.182464","-2.81073","-0.163722","-3.9121","-0.863733","-15.9808","-0.0346767","-5.46456","0.0548202","-2.29611","-0.140103","-2.52906","-0.310621","-4.18423","0.0146746","-30.1818","-47.0828","-36.3362","-1.46159","-1.93888","-0.618426","-0.00183627","0.262272","0.29851","0.276311","-14.5005","-2.89302","-4.57718","-0.165807","-6.27392","-0.916264","-10.5967","0.313798","-4.50139","-0.25411","0.124977"
"RDR 00491","-2.14603","0.273304","-5.46708","0.222312","-4.45345","0.531316","-2.36401","-0.394894","-6.63545","0.234827","-12.5527","0.742328","-1.31425","0.367602","-2.96019","0.436054","-8.12317","0.564194","-8.27218","-7.55651","-20.9943","-1.1971","-1.35416","0.402971","0.156006","1.23983","-0.0234529","1.01144","-4.1853","-1.04983","-5.26301","0.43116","-7.2545","0.685387","-3.20134","0.620205","-4.15339","0.391254","0.259479"
"RDR 00691","-4.9095","-1.06499","-20.7802","-2.42205","-7.35869","-4.44986","-5.58387","-3.00839","-28.5567","-8.00598","-16.0445","-0.497146","-6.20083","-9.26301","-5.76231","-0.701989","-12.6323","-2.31587","-29.4044","-42.1421","-35.9325","-2.99194","-4.54136","-0.772224","-0.498446","-0.245835","0.119076","-0.461872","-25.9735","-33.6391","-16.4345","-1.77504","-13.6633","-0.929751","-22.2646","-3.39551","-10.139","-0.466674","-3.35263"
"RDR 00708","0.510226","0.345711","-0.495322","0.131754","0.204105","0.614741","0.120018","-0.438158","2.68461","0.234827","1.09694","0.398574","0.60659","0.665758","0.420973","0.791361","1.77643","0.372752","0.665693","-0.58127","-0.201868","0.399217","0.204276","0.559406","0.216517","1.39637","0.195778","1.47003","7.373","-0.96434","1.02865","0.43116","1.13654","0.38248","-1.70584","0.467002","0.370616","0.407245","0.228809"
"RDR 00728","-1.27228","0.273304","-2.62806","0.425153","-4.66525","0.219931","-1.06815","-0.35163","-10.0224","0.623722","-7.3842","0.524312","-0.689547","0.693896","-1.30677","0.436054","-5.17316","0.589002","-27.851","-41.8514","-35.7306","-0.978116","-1.18463","0.0625051","0.415676","0.266357","0.201178","0.444837","-12.3663","-1.84319","-2.66796","0.273597","-3.41413","-0.00444589","-4.95905","0.698443","-3.87499","-0.0737877","0.219943"
"RDR 00802","-5.02889","-0.432046","-20.4172","-1.30637","-6.74821","-5.06681","-5.08366","-1.48885","-28.481","-6.84535","-15.6516","-0.951087","-5.66474","-2.95063","-4.64942","-0.453098","-12.4407","-2.73198","-28.8449","-43.5952","-33.712","-1.72222","-2.54575","-0.555324","-1.25075","-0.58097","-0.933424","-0.290739","-26.9293","-35.5677","-15.6507","-1.8581","-8.30671","-0.929751","-17.947","0.15405","-6.51979","0.00330813","-1.01996"
"RDR 00966","-5.99932","-6.45319","-20.8578","-6.32325","-7.5624","-12.1133","-6.09141","-5.24532","-28.5488","-7.01013","-18.414","-9.73759","-6.30645","-10.8873","-16.7719","-20.1155","-13.3954","-8.8427","-29.4642","-46.5016","-36.1344","-7.1077","-10.8","-18.374","-2.6156","-8.06451","-24.8011","-7.83561","-26.316","-42.1472","-19.4788","-8.94658","-34.8931","-11.2315","-25.2211","-11.7925","-29.0354","-9.39672","-4.37577"
"RDR 01153","-4.70203","-0.782855","-12.7178","-0.813675","-3.29452","-1.02561","-5.28415","-3.05033","-18.8702","-1.15854","-8.82749","-0.893967","-3.83041","-1.20241","-5.28032","-2.05286","-8.28407","-0.820838","-19.5247","-10.7535","-9.68967","-3.55827","-4.57579","-1.73316","-2.80131","-0.874787","-2.64154","-0.617902","-20.3505","-11.5447","-9.47456","-0.870564","-17.0837","-2.2285","-13.2934","-1.21824","-12.8534","-1.32382","-0.367004"
"RDR 01678","-0.753938","0.0660656","-6.54287","-0.44058","-0.715599","-0.152566","-1.86672","-0.707453","-3.08724","-0.500141","-1.95305","-0.279131","-0.694348","-0.0796331","-1.57729","-0.453098","-2.00768","-0.0574089","-0.747333","-0.871905","-0.807472","-0.293923","-0.649316","0.0953743","-1.27077","-0.00902544","-1.28246","-0.169024","-0.921696","-2.89302","-1.36984","-0.0580168","-1.90414","-0.128926","-4.89454","-0.145812","-1.85658","0.208592","-0.0281147"
"RDR 01679","-0.566132","0.192157","-6.27302","-0.078348","-0.417722","0.303356","-2.44416","-0.629314","-2.54716","-0.0744741","-1.77911","0.0548202","-0.669702","0.0694451","-1.2211","0.293577","-1.99656","0.134034","-0.172333","-2.94209e-15","-0.605604","-0.149776","-0.709","0.312274","-0.744455","0.413946","-0.721464","0.418102","-0.700541","-1.73034","-1.3757","0.0995466","-1.78166","0.258","-5.56018","0.238832","-1.99578","0.33457","0.115652"
"RDR 01686","-6.08694","-6.58802","-24.5986","-6.64924","-7.8896","-11.3736","-6.63319","-5.7168","-30.1028","-9.30719","-20.5906","-9.89274","-6.43268","-11.9871","-15.9874","-12.793","-14.0667","-8.93725","-29.7236","-45.9203","-35.5288","-7.34679","-10.6692","-16.8254","-1.11412","-0.664426","-1.10399","-0.389605","-27.3485","-42.431","-20.7394","-8.83879","-35.5502","-19.7014","-25.1112","-11.5644","-28.583","-9.42818","-4.35259"
"RDR 02030","-4.98937","-1.65174","-10.1022","-0.643421","-3.00028","-1.25357","-1.92702","-0.629314","-30.0227","-9.19082","-4.90456","-0.893967","-2.09607","-1.34211","-4.40433","-2.05286","-5.39018","-0.892922","-29.0512","-43.3046","-33.3082","-2.7041","-3.72634","-2.47719","-2.45619","0.154802","-3.26438","-0.633638","-25.8729","-35.4549","-9.01377","-0.870564","-12.331","-3.54073","-9.42803","-0.833592","-9.23419","-1.5633","-0.339289"
"RDR 02032","-5.20733","-1.91267","-14.1774","-0.723117","-3.78852","-1.17015","-3.59022","-0.985138","-29.8485","-9.30719","-8.17535","-0.966639","-3.12862","-1.33273","-5.84578","-2.19534","-7.64295","-0.940197","-29.4934","-46.2109","-35.7306","-3.46862","-4.41534","-2.38385","-2.87825","-0.0490299","-4.39617","-1.53627","-26.251","-35.0001","-13.0263","-0.970111","-15.7466","-3.29177","-14.5696","-0.908557","-12.053","-1.57097","-0.388549"
"RDR 02498","-6.08235","-6.58802","-21.6902","-2.11047","-7.82261","-10.2391","-6.57417","-5.64704","-27.5344","-4.35187","-20.3225","-8.98316","-6.13268","-7.32819","-9.24181","0.684946","-13.6573","-5.27035","-30.5613","-47.0828","-36.5381","-6.36914","-9.07748","0.622507","1.81085","0.234138","1.65546","0.451263","-28.1072","-42.26","-17.8528","-2.77875","-29.1281","0.782893","-19.9743","0.378947","-23.3978","0.576386","-1.66156"
"RDR 03006","-3.36573","0.2371","-14.0938","0.0919057","-2.43909","0.38678","-4.57218","-1.08844","-17.1878","0.041892","-8.60182","0.127492","-3.66596","0.139295","-3.04618","0.32964","-6.91694","0.134034","-29.4415","-43.8859","-33.1064","-1.84936","-3.06572","0.188708","1.22095","0.73535","-0.0847531","0.21681","-18.3978","-3.77187","-9.17558","0.21558","-8.10229","0.395967","-10.7572","0.157322","-8.74699","0.331059","0.110062"
"RDR 03026","-1.65956","0.56169","-4.39368","0.41429","-0.874493","0.603585","-0.978102","0.030681","-6.0459","0.430788","-2.56625","0.461443","-1.35817","0.595909","-0.85544","0.684946","-3.15413","0.444835","-11.7877","-2.88658e-15","0.807472","-1.00811","-1.42623","0.746073","1.75983","0.179137","-0.0323061","-0.238695","-8.70672","0.198342","-2.49444","0.53895","-4.00119","1.04534","-8.19966","0.770136","-0.812584","0.751118","0.319181"
"RDR 03027","0.00321068","0.192157","-1.6128","0.0919057","0.00450926","0.303356","-0.993578","-0.559563","0.06253","0.274624","-0.39155","0.200164","-0.264249","0.288373","-0.775176","0.542469","-1.61813","0.253393","-0.358611","0.58127","-0.201868","-0.0895465","-0.447423","0.529173","0.50449","0.528784","0.0491177","-0.00966505","1.14486","-0.680512","-0.0104985","0.32337","-0.464933","0.92086","-1.09878","0.23556","-0.603784","0.516712","0.152692"
"RDR 03056","-1.04451","0.200897","-4.5779","-0.179769","-0.604014","0.231087","-1.12146","-0.473034","-3.37612","0.0786633","-2.14525","0.127492","-1.06892","-0.00978371","-1.23192","0.436054","-2.75485","0.0146746","-13.0888","-2.90635","-5.65231","-0.318493","-1.07341","0.0953743","0.214917","1.1481","-0.300676","0.58765","-6.82855","-2.18001e-15","-2.05749","0.207337","-3.34901","0.258","-4.10236","-0.0708467","-1.29978","0.294007","0.0691482"
"RDR 03086","-2.04791","-0.132433","-8.32643","-0.44058","-2.26465","-0.235991","-3.46368","-1.03679","-9.13144","-0.500141","-7.43262","-0.414672","-1.67967","-0.387169","-4.01646","-0.559512","-8.49913","-5.2947","-16.4847","-7.26587","-6.66164","-2.4674","-3.67882","-1.26912","-1.16466","-0.851406","-1.26262","-0.99904","-10.8355","-3.77187","-17.2252","-4.6331","-20.252","-2.78346","-12.3986","-0.605423","-9.93019","-0.927166","-0.577932"
"RDR 03785","-6.09312","-6.66916","-24.4817","-6.81949","-7.98333","-12.1021","-6.68063","-5.87308","-30.6698","-9.46335","-20.996","-10.372","-6.53654","-12.4437","-16.2236","-9.53794","-14.1627","-8.98452","-30.2614","-47.0828","-36.3362","-7.16289","-10.9549","-17.4406","-0.539405","-1.34071","-0.389131","-1.50036","-28.1046","-42.9132","-21.1131","-9.05437","-35.7192","-12.44","-25.0829","-12.1022","-27.8522","-9.44391","-4.39666"
"RDR 03820","-5.6099","-5.42573","-22.8486","-5.85234","-7.37247","-8.52068","-6.35896","-5.36936","-29.5067","-9.03164","-18.535","-7.22924","-6.17447","-11.2188","-15.2074","-14.7842","-13.2091","-7.36077","-29.6657","-45.0484","-35.125","-6.87976","-9.70779","-7.44356","-2.68688","-0.0760012","1.23257","-0.0500079","-24.4031","-27.5692","-19.5113","-7.33828","-32.9188","-11.1351","-22.846","-9.19136","-26.2166","-8.01485","-3.98684"
"RDR 03963","-5.55972","-3.54435","-14.2449","-0.248602","-3.67444","-0.619644","-4.96463","-1.18468","-20.6819","-0.539938","-11.1099","-0.361605","-3.87728","-0.43826","-5.33663","-1.0573","-9.25333","-0.318594","-28.5906","-39.5263","-30.8858","-3.84209","-4.46605","-1.39269","-1.46675","-0.401675","-1.45084","-0.881149","-18.2006","-5.30387","-12.6633","-0.704757","-17.7137","-1.7036","-16.5545","-0.999884","-12.227","-0.797547","-0.0932683"
"RDR 03998","-0.355269","0.111009","-1.32501","-0.129058","-0.0389429","0.231087","-0.519662","-0.438158","-3.07475","0.041892","-0.706058","0.127492","-0.273859","0.288373","-0.984374","0.187163","-1.46637","0.206117","-1.646","-0.290635","-0.807472","-0.180458","-0.399158","0.682972","0.321861","0.361894","-0.371985","0.0694335","-0.791892","-1.64485","-0.610878","0.21558","-1.17239","0.658413","0.235285","-0.0708467","-1.16058","0.34328","0.0814286"
"RF 00049","-3.21452","-0.375875","-8.0842","-0.643421","-1.87579","-0.6308","-3.40738","-1.03679","-11.8034","-0.579736","-6.37079","-0.685754","-1.9359","-0.606097","-3.66662","-1.19977","-5.67168","-0.437953","-29.8529","-45.6297","-35.5288","-1.84823","-2.3538","-1.08246","-0.282302","0.175896","-1.61821","-1.04997","-12.9009","-5.30387","-6.85547","-0.447647","-7.28861","-1.30319","-7.24228","-0.91183","-6.76339","-0.673388","-0.230006"
"RF 00595","-4.41994","-0.689236","-22.4211","-5.2365","-3.19141","0.231087","-6.2587","-5.23957","-25.3594","-4.89784","-7.61883","-1.06702","-3.57253","-0.811451","-0.756675","0.436054","-9.97731","0.0394828","-20.8615","-23.2508","-12.7177","-0.00827475","-0.425407","0.776305","0.757085","-1.68595","-0.0496504","-1.95046","-22.0992","-12.8135","-18.872","-2.78512","-0.918648","0.79638","-23.7238","-8.73175","-1.26498","-9.06376","-4.04654"
