,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00030,-0.22716,2.96228,-0.890347,-0.928953,-1.73677,0.228738,-0.808991,-0.516191,0.114919,-0.205195,0.605134,0.299916,-0.0245256,0.841964,0.433318,-0.0256991,0.198631,-0.762987,-0.219118,-0.624887,-0.632875,0.6591,-0.457451,-0.250488,-0.865813,-0.18099,-0.91956
LOPAC 00031,-0.346441,0.381965,0.640535,0.373054,0.253422,0.450135,0.728142,0.711116,0.0617411,0.214946,-0.0615427,0.176338,0.0380933,-0.706398,-1.01599,-0.0150181,0.315245,-0.216681,0.704437,0.258936,-0.290592,-1.35708,-0.521719,0.172663,0.508871,0.290204,-1.44667
LOPAC 00032,0.69353,0.875575,-0.0563344,1.08184,-0.471954,-0.151868,0.847372,0.249976,1.05223,-0.0619961,0.01517,-1.68119,0.215262,0.322005,0.450915,0.306632,-1.0409,-0.316905,0.510081,1.26396,-0.292416,-0.0978732,0.842284,0.0515293,-0.902909,0.479979,0.0648418
LOPAC 00033,-0.403756,-0.283498,-0.267854,1.49062,0.274267,-1.18476,0.856049,0.803011,1.19036,-1.39544,0.290919,-1.22207,-2.08087,-1.43455,0.332258,-0.390388,-1.25118,-0.328129,-0.732492,-0.0748532,-0.238985,-1.62837,-1.06171,-1.76515,-0.753825,0.522438,-0.327034
LOPAC 00034,-1.22771,-9.20037,-2.99737,-2.22182,-1.46286,-13.645,-1.74364,-3.19389,-3.1179,-0.904283,-19.9423,-10.2826,-6.54913,-15.7342,-11.9726,-0.608449,-23.2402,-1.26435,-1.91624,-5.00889,-14.921,-7.02151,-15.9151,-13.1969,-1.04509,-1.24008,-13.4313
LOPAC 00035,0.1353,-0.0402441,0.782208,0.90371,-0.551503,-0.797932,-0.126222,1.01964,1.19716,0.205098,0.031458,0.203032,0.18304,-0.338451,0.0949926,-0.531789,-0.371183,-0.345322,0.628532,0.917171,-0.192859,-0.382508,-0.53931,-0.380222,1.32017,0.455974,-0.0286099
LOPAC 00036,0.698989,0.645859,0.384738,-0.0261982,0.966397,0.930724,1.09317,0.947685,-0.166774,1.0758,0.109524,0.593893,-0.0684275,0.856416,0.0854204,0.533627,1.74259,1.03293,0.506098,0.837208,-0.00820967,-0.810908,-1.33375,-0.0233626,1.94611,0.677831,0.483324
LOPAC 00037,-1.60671,-1.49403,-0.473121,-1.45179,-0.21033,-0.33174,0.0170529,-1.15071,-1.71008,-1.01041,0.169078,-2.46034,-0.23496,-1.29011,-1.30814,0.395019,-0.445276,-0.93411,-1.55346,-0.956725,-0.775229,-0.597123,-0.540954,-0.421741,-1.0836,-1.55514,-0.833707
LOPAC 00038,0.0119888,-1.99509,0.555139,0.713646,-0.566157,-1.61484,0.054721,1.16499,0.546129,0.235294,-0.552341,-14.5849,1.04954,-3.97441,-2.46186,-0.358951,-2.35379,0.240472,0.541399,0.588165,-0.398594,-2.92426,-0.255343,-2.32396,1.68168,1.23024,-3.22889
LOPAC 00039,-0.647619,-0.367225,0.159747,1.68939,-0.935594,-0.235687,0.312268,0.267223,0.381442,-0.220164,-0.049159,0.25661,0.129097,-0.00268426,1.43782,-0.049669,-0.990871,-0.679572,1.99868,2.03809,0.38107,0.31409,1.29527,-0.025125,-0.976903,0.502789,0.0295443
